,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
12,25.9181,1.5626,151.2638,42.1553,16.1919,1.2398,92.6279,27.4295,29.1161,7.0898,40.6634,10.694,91.7376,2.0819,47.8986,9.9919,50.0
23,26.4897,1.8086,159.519,45.8822,16.4379,1.2886,95.7474,27.7109,29.4903,7.1628,41.5677,8.4301,92.1958,1.9162,49.0707,12.3685,50.0
34,26.1857,2.1454,150.8663,41.6496,16.3503,1.7673,92.1372,27.6551,29.0226,6.9257,41.7641,13.4178,91.9501,2.0123,47.5707,11.9096,50.0
45,26.1949,2.2599,154.8575,33.5363,16.2076,1.398,94.8499,21.7113,28.266,6.0553,38.4547,7.4815,92.806,1.3663,48.2138,10.7626,50.0
56,26.3703,1.9353,149.6188,37.9973,16.4427,1.4249,90.309,24.9073,30.3737,8.39,40.4966,9.7751,92.2972,1.6951,49.462,11.1294,50.0
67,26.3563,2.0707,146.6424,32.5274,16.5334,1.6782,88.3048,20.9728,30.6908,6.9754,39.7934,6.4729,91.8412,2.4652,50.5888,11.4761,50.0
78,26.2792,2.3605,161.8696,42.7459,16.33,1.6834,99.2614,28.0617,28.094,6.2726,41.3071,9.5773,92.1815,2.0926,45.8025,12.1231,50.0
89,26.0111,2.0167,152.6167,38.5023,16.2591,1.2738,91.9651,23.7978,29.5826,5.8456,41.9066,11.7115,91.9811,2.4847,50.0634,12.5613,50.0
90,26.8891,2.6981,156.4812,43.8059,16.8911,2.0442,94.8595,24.5072,32.5948,10.6782,47.5688,21.456,91.3134,3.3447,47.9873,12.1971,50.0
42,25.7845,1.9976,162.6991,39.6422,16.1052,1.5326,99.9058,25.9914,30.3225,7.6469,41.1837,9.5161,92.1732,2.4875,46.2663,10.4933,50.0
