Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,56,56,20.31099169980917,11.040786740281156,9.154598341818815,412.5363838297169,93.92073874567141,239.44358666414266,148.32918614541006,38.476763567920855,57333.2311945888,40.57971014492754
2,56,1056,20.60858076638532,11.18319992596917,9.233171237097347,424.71360120462685,92.88187764524817,279.6139190476356,173.19862694279428,44.85744595293275,78183.9437251777,32.880434782608695
3,56,2056,19.701281260701403,10.809321068924453,8.954162490459629,388.1404833132643,93.574451712197,294.3998266643612,182.31607715960462,45.686596454951776,86671.25794000595,48.007246376811594
4,56,3056,21.02572542626444,11.316013278997465,9.077600632551286,442.08112970066304,93.53597537514429,319.8259352052534,197.99388609780146,49.47438152667718,102288.62882991496,37.22826086956522
5,56,4056,19.96441851027524,10.909324740296016,8.973676862533637,398.5780064534207,94.03616775682954,258.37289353174424,159.42929167923543,40.45107957801156,66756.55211196606,42.119565217391305
6,56,5056,20.4188586848687,11.112283343478394,9.021396999777927,416.9297899926379,93.92073874567141,301.1499961783111,186.86429742147448,45.94381892559374,90691.32019819679,43.75
7,56,6056,20.639764750253914,11.119324720030802,9.046528748866123,425.999888945824,93.03578299345902,342.03511470288026,210.81600693640107,49.87576576420197,116988.01968981247,38.04347826086957
8,56,7056,20.598457945142492,11.144048249383555,9.120293579539357,424.29646971780386,93.8822624086187,326.4505718130422,201.1520618325742,49.25842066257778,106569.97583706223,44.20289855072464
9,56,8056,20.28997300989193,10.953510591028849,9.13400333201592,411.683004742143,93.99769141977684,274.70900386531724,171.0272859824472,42.06911067659957,75465.03680467489,44.927536231884055
10,56,9056,20.554118784642302,11.179541306662836,9.261058062112964,422.47179901318555,93.68988072335513,251.12571162544302,155.75987755062692,40.52116749179008,63064.123039385166,46.46739130434783
11,56,10056,21.52797353786377,11.379299147570075,9.063450266640258,463.4536446469627,93.68988072335513,308.1348395678726,191.0200565522214,47.2259242433425,94947.07935551858,44.11231884057971
12,56,11056,20.286174484774733,11.041491717640497,9.090902032521264,411.5288752267254,93.38207002693343,257.9421670517539,161.07183438100702,41.343754067876425,66534.16154335493,35.688405797101446
13,56,12056,19.986308538688704,10.92213719783921,9.04192609453444,399.452529003661,94.30550211619854,292.21018653171654,180.47698193639434,44.79416640063328,85386.79311290057,37.68115942028986
14,56,13056,21.05356877910073,11.534057652183437,9.205880127965546,443.252758336325,92.88187764524817,295.65935401724164,183.71648946634102,46.463854804788554,87414.4536178926,45.471014492753625
15,56,14056,19.669481217480303,10.833985012411393,9.205918581229962,386.8884913648105,94.15159676798768,247.2655434186283,154.26355320754388,41.18790580975218,61140.24896210956,42.30072463768116
