,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
12,20.2521,0.4763,281.9057,33.5666,11.0296,0.203,174.9345,20.2462,9.0858,0.167,43.8457,3.9665,93.4952,0.4902,39.3496,4.614,50.0
23,20.1842,0.457,295.1485,29.9631,11.0048,0.1513,182.6955,17.8483,9.1252,0.1347,45.7368,3.3377,93.5937,0.4331,41.6486,4.1401,50.0
34,20.3369,0.5708,292.1564,37.2899,11.0703,0.2153,181.0061,22.2275,9.0986,0.1615,45.0235,4.2411,93.4806,0.6308,39.1975,5.0075,50.0
45,20.2313,0.4774,294.5687,34.2649,11.0113,0.2052,182.1442,20.1944,9.0844,0.207,45.3767,4.0038,93.5144,0.5845,40.6721,4.4607,50.0
56,20.4024,0.5036,284.7553,31.1103,11.0835,0.2035,176.6246,18.6935,9.1039,0.1833,44.2412,3.518,93.4506,0.5671,40.7609,4.2273,50.0
67,20.3636,0.4498,294.1426,38.1727,11.0879,0.1857,181.933,22.7055,9.1443,0.1451,45.1578,4.3834,93.6591,0.4662,40.3134,5.3563,50.0
78,20.2299,0.4796,283.8841,38.7409,11.0347,0.2255,175.9513,23.1038,9.1136,0.186,44.1785,4.4653,93.3936,0.7538,40.4746,4.7932,50.0
89,20.4162,0.436,293.9682,32.5627,11.0892,0.1737,182.1705,19.4209,9.1016,0.1468,45.4275,3.6639,93.5106,0.5673,40.0815,5.3881,50.0
90,20.3681,0.5823,282.0329,29.6781,11.0966,0.2292,174.7894,17.5816,9.1176,0.1764,43.8451,3.4319,93.479,0.577,38.8188,5.1938,50.0
42,20.3265,0.5048,292.9195,36.9012,11.0533,0.215,181.3657,22.0198,9.1366,0.1776,45.0827,4.1793,93.4752,0.4854,38.8279,4.695,50.0
