Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,12,12,23.254480471815718,12.036014969912955,9.340853297469815,540.7708620140586,92.13610586011343,234.02285740974108,146.7065855041832,40.924822687394936,54766.69779022001,38.768115942028984
2,12,1012,20.840494230775473,11.554857873738735,9.49108511939358,434.3261997829858,93.23251417769376,189.42531895139803,117.46079132944982,36.30438289921788,35881.95145983887,41.48550724637681
3,12,2012,20.52241222950081,11.358041163030098,9.502322884827196,421.1694037175644,93.19470699432893,236.32771776947928,146.66291972040293,41.07364656775288,55850.790186130645,41.03260869565217
4,12,3012,21.520698551173453,11.557205294358477,9.478237919653019,463.1404661304792,93.23251417769376,249.15562656536184,154.6343864560331,39.5493399394987,62078.52624917804,40.94202898550724
5,12,4012,23.50919046420994,12.387819550151367,9.673449861833117,552.6820362824996,92.66540642722117,283.2100189013895,176.0604767837088,46.9296033860821,80207.91480612541,41.03260869565217
6,12,5012,19.462116171678414,10.791665852640534,9.09642341124187,378.77396587990637,93.95085066162571,214.67992306440962,133.91615121398132,38.68583932220802,46087.46936694084,45.380434782608695
7,12,6012,20.103445350380426,11.134868226921185,9.821063866078118,404.14851495573237,93.53497164461247,206.7514887067574,129.27513309130987,38.750147337130805,42746.17808246044,34.51086956521739
8,12,7012,20.671556060409497,11.262459691332822,9.450422820755804,427.31322995865264,93.72400756143668,283.2832814856456,175.38460895075883,44.65057431867391,80249.41756927552,39.492753623188406
9,12,8012,21.672888925444333,11.631093884549323,9.772798833823297,469.7141143746476,92.47637051039698,281.9464991423708,174.96541791263317,41.23802182094697,79493.82837863888,39.221014492753625
10,12,9012,21.18856066675571,11.46285693218637,9.315558017437835,448.9551031287871,93.49716446124764,263.5623226470898,163.06444982987438,42.829905330032005,69465.09791912866,45.380434782608695
11,12,10012,21.02016990884082,11.410006213728984,9.657988915464454,441.84754299653713,93.38374291115312,353.8683364541439,218.61482577244405,54.31409605440179,125222.79954482318,38.677536231884055
12,12,11012,21.491591817610534,11.740512518328922,9.935917314666431,461.88851885478397,91.68241965973534,205.38481643660418,128.9490338835958,36.6439557567227,42182.9228226976,41.48550724637681
13,12,12012,21.10733012601197,11.41027738343397,9.488766607758881,445.51938504845253,92.36294896030246,234.56698684600272,146.52009436070892,39.93190386851179,55021.67131801281,41.48550724637681
14,12,13012,21.05122147133875,11.489144418049879,9.491490112071467,443.15392543535364,93.8374291115312,226.09620147652913,141.11440412388853,39.507124340571416,51119.49232211526,36.86594202898551
15,12,14012,20.25028031849704,11.13236088024098,9.357864168941314,410.07385297770855,93.57277882797732,202.56704140476953,126.72421964032243,35.043771745369924,41033.406263481615,41.757246376811594
16,12,15012,21.306759078970668,11.56905744921303,9.327304766943412,453.97798244929896,92.89224952741021,309.09153739889774,189.22597815676568,47.773700467511674,95537.57849161419,44.927536231884055
17,12,16012,22.246334707937788,12.02161683371382,9.580886508646518,494.8994079375974,92.2117202268431,297.20212848360677,186.57596803533377,47.91182226816536,88329.10517518631,39.58333333333333
18,12,17012,20.10023366213242,11.056991992817226,9.28789439515398,404.01939327232134,93.79962192816636,303.75214988452785,189.0595014557043,49.822580023352494,92265.36855947268,41.57608695652174
19,12,18012,20.993928816617363,11.446430962298884,9.317710629695117,440.74504715719695,91.37996219281663,231.57331141789103,145.02549316925396,40.836590560178706,53626.19856104754,34.05797101449276
20,12,19012,20.8630899362795,11.514218854358623,9.350890655935922,435.26852168928696,92.93005671077505,189.9799142281011,117.2213651458779,34.48744918205274,36092.36781011665,39.67391304347826
21,12,20012,20.37440491813649,11.032017685927977,8.862393517712942,415.11637576818447,93.23251417769376,228.91882209565145,140.67684877507807,40.755368067982104,52403.82710966052,43.75
22,12,21012,22.092272290096975,11.687622115511916,9.369933561697884,488.06849493978666,93.23251417769376,262.6411729392819,162.8691987760624,45.65661518687147,68980.38572292178,41.1231884057971
23,12,22012,20.526065477637456,11.224639047060379,9.505573351173293,421.3193639922601,92.62759924385632,226.86623306649918,142.18842161387784,41.030155524693036,51468.28770578313,35.507246376811594
24,12,23012,20.79845486358848,11.365206372485611,9.240382203209633,432.5757247127272,92.77882797731569,296.23365214296854,184.45181207008991,46.507728165921904,87754.3766619613,36.684782608695656
25,12,24012,20.303392777046998,11.200562840428585,9.23980776460636,412.2277582590442,93.42155009451795,136.78274375013785,80.03033760103756,27.478295625798555,18709.518987815878,48.188405797101446
26,12,25012,21.38056470142263,11.749870235126256,9.643917229852564,457.12854695171944,92.89224952741021,248.93728448881217,154.79825361832863,38.922426676889785,61969.7716086638,36.775362318840585
27,12,26012,21.82489007839897,11.824102182494752,9.595218364195517,476.3258269341978,93.57277882797732,260.1085454632523,163.0576087817311,44.432723448681614,67656.4554230088,38.224637681159415
28,12,27012,21.07950236050498,11.533489765785417,9.34490101262689,444.3454197665349,93.57277882797732,347.53150615422453,216.67430853351956,53.67093788052391,120778.1477698238,39.40217391304348
29,12,28012,20.638322675954058,11.38082224036824,9.338211946610425,425.9403628767994,93.68620037807183,241.2670496288076,150.9830269813291,41.42402196964826,58209.7892365895,39.76449275362319
30,12,29012,21.918677722376508,11.615263043566554,9.035826671939486,480.42843309740425,92.36294896030246,322.0444730277097,198.11302563921694,49.47060614831205,103712.64260769525,34.8731884057971
31,12,30012,20.92868532645459,11.514898524600023,9.346040322044002,438.0098694937558,93.08128544423441,263.76002018595756,163.52846799387373,43.82333789640776,69569.34824849674,37.22826086956522
32,12,31012,23.001290727323546,12.279784478430944,9.698085359882835,529.0593751228602,92.58979206049149,253.15294079140284,160.55593349113195,43.01885364975567,64086.41143133551,26.902173913043477
33,12,32012,21.652322078248222,11.696096201168695,9.951625115230005,468.82305138019547,93.11909262759924,373.0593818337462,229.81940049477532,56.28188950319046,139173.30237417686,39.492753623188406
34,12,33012,22.996849287506684,11.937919289572704,9.227615216356089,528.8550771522966,93.23251417769376,238.67754485216864,150.63440055654422,41.939643254968146,56966.97041665897,36.95652173913043
35,12,34012,20.71000239048307,11.403865848422004,9.542167597375961,428.9041990138145,93.79962192816636,211.28820012092646,132.6735119265482,36.44366671392814,44642.70351034067,32.065217391304344
