,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
12,21.448,1.2973,254.0675,49.4703,11.6049,0.5048,158.1998,30.7812,9.452,0.219,42.542,5.8064,93.0231,0.773,38.4801,3.9235,50.0
23,21.2224,0.8422,242.5982,49.0251,11.5498,0.3641,150.6763,30.6183,9.5437,0.3207,40.8385,5.811,92.9792,0.6934,38.1395,5.5284,50.0
34,21.6975,1.377,264.4387,50.3224,11.7527,0.6398,164.426,31.5761,9.5349,0.3118,43.4387,6.2649,92.6699,1.305,38.9312,5.1169,50.0
45,21.1393,0.8048,235.9758,52.5067,11.5106,0.3597,146.1696,33.7517,9.5422,0.2589,40.3522,5.6919,92.8665,0.8674,39.0362,6.8136,50.0
56,21.4455,1.494,266.0835,53.242,11.6502,0.6416,164.8818,32.9685,9.4938,0.3622,43.4334,6.1757,92.9822,1.0854,38.5,4.755,50.0
67,21.3903,1.0006,261.3476,47.6237,11.6323,0.4529,162.4143,29.1233,9.5787,0.3405,43.1013,5.4771,92.8854,0.931,38.0743,4.0458,50.0
78,21.4162,0.9848,249.6279,52.0913,11.6088,0.3992,154.9197,32.5665,9.5223,0.238,41.6573,5.911,92.9527,0.6427,38.8569,5.2052,50.0
89,21.1035,0.8406,246.3681,48.132,11.486,0.35,153.0308,30.1632,9.4735,0.294,41.6645,5.7712,93.0284,0.913,39.6721,4.9759,50.0
90,21.4255,0.872,240.9901,53.657,11.6421,0.3906,149.5887,34.1245,9.6234,0.3545,41.0736,6.2269,92.8756,0.9843,38.7808,5.5346,50.0
42,21.3244,0.8696,251.6333,46.1224,11.5816,0.3739,156.0936,29.1985,9.5355,0.261,42.0867,5.2969,92.8181,1.1919,38.4891,4.8325,50.0
