,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
12,38.4468,4.0056,304.6813,53.7048,27.0846,2.9533,194.4412,34.0566,77.1401,16.7733,87.2094,29.6955,87.3308,3.2482,40.2011,9.9535,50.0
23,38.8782,3.3988,307.4667,52.3792,27.6227,2.8253,196.9409,31.7773,79.5789,18.1208,90.3865,35.2087,86.1535,3.4454,40.2174,5.3036,50.0
34,38.5942,3.5208,296.9883,59.6631,27.3693,2.6852,191.0031,37.0952,77.8885,17.1331,89.7662,25.749,86.8295,3.1906,37.8986,7.3894,50.0
45,39.2759,3.0921,301.782,55.4736,27.7875,2.1855,193.8532,34.629,80.4674,17.5906,86.2894,20.5608,86.5543,2.9865,40.0236,7.2001,50.0
56,40.0802,4.0096,320.9799,72.5087,28.3952,2.9044,204.8823,44.2764,80.8251,17.3755,88.4372,22.7473,85.9985,3.1139,41.5888,7.3463,50.0
67,38.947,3.1469,310.935,60.6975,27.5681,2.3442,198.7704,37.2754,79.7774,18.5535,84.1948,24.6387,86.4234,3.0381,40.6051,6.445,50.0
78,38.0411,4.1497,293.0647,65.6023,26.6913,2.9147,187.4517,40.5225,78.6607,14.9766,83.7083,16.7958,87.2302,2.9184,38.4511,7.4945,50.0
89,38.791,2.938,305.7784,62.8345,27.3949,2.1101,195.2755,39.0744,78.1896,14.4538,81.9588,14.3053,86.7773,2.3131,39.5707,6.1161,50.0
90,38.509,3.3713,311.3848,58.5332,27.2246,2.4542,198.2706,36.394,75.508,14.672,83.4061,20.6083,87.6265,2.3798,41.029,6.8911,50.0
42,38.6852,3.269,305.3738,56.2552,27.3628,2.4484,195.5087,34.9513,76.1803,15.2983,83.2214,18.3702,87.0352,3.1262,40.0598,7.2614,50.0
