,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
12,27.8208,2.4897,213.6804,62.8275,15.1841,1.2232,130.5664,40.2484,12.0576,0.7794,37.6782,8.6071,93.005,0.9514,42.5036,6.3597,50.0
23,27.4474,2.3997,198.9265,52.6857,14.9936,1.1778,121.2846,33.7484,12.021,0.7116,35.9852,7.1959,93.3174,0.9676,40.7264,5.6978,50.0
34,27.7256,2.2234,210.2978,54.8491,15.1127,1.1827,128.5364,34.8404,12.0104,0.62,37.4225,7.4114,93.1781,1.0797,42.2862,7.2451,50.0
45,27.7417,2.091,197.3384,63.5504,15.1502,1.036,120.3012,40.5416,12.1456,0.72,35.5767,8.9367,93.162,0.8272,42.7446,6.935,50.0
56,28.1127,2.9093,216.3456,63.3999,15.2564,1.4126,132.2252,40.4005,11.9644,0.7969,37.9326,8.7445,92.8011,1.2024,41.3768,5.7284,50.0
67,27.4332,2.2073,212.525,62.4846,14.9882,1.1007,129.8497,39.7885,11.9796,0.7151,37.8512,8.5762,92.8896,1.2101,42.0652,5.9296,50.0
78,27.8988,2.6256,205.3146,62.9958,15.2251,1.2247,124.812,40.5381,12.0858,0.7873,36.5005,8.7624,92.8834,1.2071,42.8986,6.6511,50.0
89,27.8745,2.306,201.2492,58.5623,15.2369,1.1598,122.7726,37.4721,12.2074,0.8607,36.5882,7.9113,93.142,1.1165,42.6975,5.7674,50.0
90,27.0789,1.8275,201.2712,53.971,14.7711,0.9316,122.8853,34.8624,11.8512,0.6963,36.0423,7.2555,93.2043,0.7351,41.9239,6.4351,50.0
42,27.6706,2.3005,199.9446,63.3606,15.1107,1.2193,121.5182,40.6495,11.9472,0.7754,35.7503,8.6078,92.9835,1.2468,44.1286,7.4809,50.0
