Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,42,42,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
2,42,1042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
3,42,2042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
4,42,3042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
5,42,4042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
6,42,5042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
7,42,6042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
8,42,7042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
9,42,8042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
10,42,9042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
11,42,10042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
12,42,11042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
13,42,12042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
14,42,13042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
15,42,14042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
16,42,15042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
17,42,16042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
18,42,17042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
19,42,18042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
20,42,19042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
21,42,20042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
22,42,21042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
23,42,22042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
24,42,23042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
25,42,24042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
26,42,25042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
27,42,26042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
28,42,27042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
29,42,28042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
30,42,29042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
31,42,30042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
32,42,31042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
33,42,32042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
34,42,33042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
35,42,34042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
36,42,35042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
37,42,36042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
38,42,37042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
39,42,38042,319.6038842397607,202.65987441611884,100.0,102146.64282114236,33.51449275362319,581.6867501501911,381.98301323506524,100.0,338359.4753002908,17.934782608695652
