,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
12,319.6039,0.0,581.6868,0.0,202.6599,0.0,381.983,0.0,100.0,0.0,100.0,0.0,33.5145,0.0,17.9348,0.0,50.0
23,319.6039,0.0,581.6868,0.0,202.6599,0.0,381.983,0.0,100.0,0.0,100.0,0.0,33.5145,0.0,17.9348,0.0,50.0
34,319.6039,0.0,581.6868,0.0,202.6599,0.0,381.983,0.0,100.0,0.0,100.0,0.0,33.5145,0.0,17.9348,0.0,50.0
45,319.6039,0.0,581.6868,0.0,202.6599,0.0,381.983,0.0,100.0,0.0,100.0,0.0,33.5145,0.0,17.9348,0.0,50.0
56,319.6039,0.0,581.6868,0.0,202.6599,0.0,381.983,0.0,100.0,0.0,100.0,0.0,33.5145,0.0,17.9348,0.0,50.0
67,319.6039,0.0,581.6868,0.0,202.6599,0.0,381.983,0.0,100.0,0.0,100.0,0.0,33.5145,0.0,17.9348,0.0,50.0
78,319.6039,0.0,581.6868,0.0,202.6599,0.0,381.983,0.0,100.0,0.0,100.0,0.0,33.5145,0.0,17.9348,0.0,50.0
89,319.6039,0.0,581.6868,0.0,202.6599,0.0,381.983,0.0,100.0,0.0,100.0,0.0,33.5145,0.0,17.9348,0.0,50.0
90,319.6039,0.0,581.6868,0.0,202.6599,0.0,381.983,0.0,100.0,0.0,100.0,0.0,33.5145,0.0,17.9348,0.0,50.0
42,319.6039,0.0,581.6868,0.0,202.6599,0.0,381.983,0.0,100.0,0.0,100.0,0.0,33.5145,0.0,17.9348,0.0,50.0
