,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
12,15.2283,0.8221,89.0747,24.7959,9.3337,0.5493,49.2803,14.2518,17.0112,2.117,46.5919,8.235,91.5558,1.9207,53.9303,9.249,50.0
23,15.651,1.5326,92.0628,18.3935,9.6535,1.0188,50.0959,10.12,17.6038,2.4766,46.527,7.6815,91.3221,2.9581,53.0516,10.4977,50.0
34,15.4161,1.3776,91.9774,29.8172,9.4763,1.0178,50.5853,17.4322,17.2517,2.5643,50.1341,24.0487,91.6087,3.1922,53.9946,9.7252,50.0
45,15.0303,0.6311,88.1028,21.4515,9.2176,0.4008,48.6776,12.2455,16.7305,1.519,45.367,7.3429,92.0533,1.5895,52.7083,9.2776,50.0
56,15.3707,0.8459,90.5355,24.1147,9.4296,0.5555,49.5541,13.7769,17.272,2.1553,48.592,8.583,91.6197,2.2402,55.4321,10.8244,50.0
67,15.4393,0.6611,91.218,25.362,9.3843,0.5607,50.3818,15.1023,17.0273,2.1487,49.7503,18.7447,91.5032,1.963,53.7355,11.014,50.0
78,15.4229,1.2202,88.0587,24.7347,9.4103,0.7046,48.5284,14.6275,17.1183,2.0066,45.4491,9.3244,91.5274,2.4849,53.9121,10.3965,50.0
89,15.5633,1.9891,91.0006,40.0619,9.578,1.2294,50.1096,24.1738,17.9638,6.4579,47.6041,17.7124,91.2631,2.6753,56.7609,9.0698,50.0
90,15.9999,4.0169,101.3625,31.3894,9.9829,3.4277,55.5167,18.6458,18.5981,9.5929,50.6758,19.2592,90.3626,7.2245,51.5752,9.7242,50.0
42,15.4087,1.1715,98.4695,26.2802,9.3937,0.6738,54.5719,15.1005,16.6009,1.6843,49.2268,8.7695,91.6779,2.2934,51.7627,10.8791,50.0
