Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,78,78,12.356689700308989,6.521107476395038,8.852983671883246,152.68778034972223,93.67064255482877,110.68399808315922,60.52323113917534,44.12331185159404,12250.947431672796,54.03079710144928
2,78,1078,12.717601768343838,6.621289831884654,8.962277704651116,161.73739473818233,93.42054636398615,117.48958827479692,65.01176296515813,42.52136171493836,13803.803352981296,47.82608695652174
3,78,2078,13.084615595276212,6.7902782003612145,9.107726514624865,171.20716527614545,93.26664101577529,133.20480086306029,73.26827617511643,45.513697771826564,17743.518972967548,47.3731884057971
4,78,3078,12.477784204198898,6.542881518734634,8.979214583922102,155.69509864655552,92.90111581377452,110.94505428030499,62.15443648859127,41.50954216107562,12308.80506925982,41.440217391304344
5,78,4078,12.63183638424961,6.618908869392547,8.820022839525809,159.56329043845224,93.68988072335513,122.78690367964586,68.44914359457397,44.137084172886425,15076.62371523463,45.244565217391305
6,78,5078,12.649500588504322,6.739430474618311,9.228710078421859,160.0098651385712,94.3632166217776,117.34494951978743,64.73424730615994,43.60306151389303,13769.83717780146,47.64492753623188
7,78,6078,12.61875992395823,6.65693129710591,9.217268132440633,159.2331020184943,93.59368988072335,92.13805842964182,51.566789077986,41.25963073816821,8489.42181118409,44.7463768115942
8,78,7078,12.56590284551377,6.5657661140635435,9.030325279566256,157.9019143228911,93.4397845325125,108.75841884607027,59.50823085230627,43.72788853712246,11828.393669897254,52.1286231884058
9,78,8078,12.35829175261105,6.541540867278978,9.014672956726761,152.7273750426543,93.86302424009234,104.27445884513634,57.54197467822518,44.3245005980512,10873.162767446032,49.275362318840585
10,78,9078,12.85281040365505,6.706725284284129,9.05625799774611,165.19473527230352,93.95921508272413,129.41895025128923,71.67579925037708,46.09318734263536,16749.264684145677,47.41847826086957
