,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
12,12.7027,0.3327,118.6168,8.3788,6.6547,0.1317,65.3324,4.7659,9.0022,0.1197,44.136,1.8549,93.2055,0.6763,47.0335,3.9799,50.0
23,12.6917,0.415,114.6911,10.1458,6.6586,0.1776,63.3041,5.615,9.0247,0.1288,43.6061,2.3327,93.0165,0.9846,47.6486,4.7311,50.0
34,12.6283,0.32,117.3115,9.8288,6.6282,0.1394,64.9557,5.4098,8.9899,0.1254,43.171,1.7799,93.05,0.7514,46.5707,4.0038,50.0
45,12.56,0.3218,113.9084,7.6966,6.6043,0.1277,62.9443,4.3838,9.0267,0.1492,43.3112,1.7041,93.0362,0.8294,47.1196,4.4459,50.0
56,12.6181,0.2671,116.1936,9.4629,6.6264,0.1061,64.2004,5.3034,9.0222,0.1387,43.6432,1.5663,93.1581,0.6261,47.3279,4.238,50.0
67,12.6244,0.3082,116.0666,10.3897,6.6258,0.1219,64.1152,5.8245,9.0098,0.1259,43.4642,1.5977,93.1585,0.603,47.3442,4.5349,50.0
78,12.6221,0.2596,114.281,9.2365,6.635,0.1114,63.1107,5.1117,9.0464,0.1314,43.3426,1.927,93.2166,0.6265,46.8841,4.6187,50.0
89,12.7365,0.401,116.8364,12.3537,6.6792,0.1666,64.3945,7.0004,9.0413,0.1445,43.6297,2.0106,93.0523,0.7803,47.5788,4.5651,50.0
90,12.6701,0.2807,116.0662,9.8147,6.658,0.1134,63.9454,5.6299,9.0408,0.1281,43.649,1.7655,93.0154,0.7399,47.6504,3.9047,50.0
42,12.6336,0.3082,114.1901,9.7588,6.639,0.1297,62.8142,5.5623,9.0497,0.1393,43.5441,2.0267,93.2151,0.5716,49.1413,4.0685,50.0
