Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,45,45,14.02578861330994,7.298077842619623,9.778667721674012,196.72274622525475,93.17580340264651,131.9524591719885,71.63201630820366,47.92818609808812,17411.45148153529,47.50905797101449
2,45,1045,13.402922424995213,7.048631274707303,9.888176111065206,179.63832953043953,93.40264650283554,135.90580958945895,74.70811522977037,45.009892060998155,18470.38908016627,44.83695652173913
3,45,2045,13.932549785334254,7.125321377120811,9.513696133820538,194.11594352081758,92.19281663516068,117.30016432635162,62.94409073654556,44.70195918733042,13759.328550989094,51.222826086956516
4,45,3045,13.21284577265456,6.996111338171882,9.700593640671967,174.5792934119555,93.3648393194707,118.2074095499451,64.5733561876307,42.96129797895614,13972.991672508451,51.721014492753625
5,45,4045,13.461742788165528,7.056415909468713,9.801849044190538,181.2185188947266,93.49716446124764,122.11333868214624,66.50856163135695,44.83720383865506,14911.667484100552,51.539855072463766
6,45,5045,13.817153423706932,7.09594747079939,9.40570394193144,190.9137287342562,93.30812854442344,147.90525287375073,82.24636818523251,48.47712045226277,21875.963827648146,40.26268115942029
7,45,6045,13.96292776002118,7.255502525091242,10.041954078729281,194.9633516315701,90.8695652173913,98.94322574547631,52.94116850225081,41.2601153650705,9789.761920920286,54.891304347826086
8,45,7045,13.267837027997894,6.928555829406617,9.672989975848703,176.035499401512,93.10018903591683,101.84360759614388,54.93114115616813,42.48635207492452,10372.120408197337,47.46376811594203
9,45,8045,14.105219313015832,7.3598558361464335,10.174417768915704,198.9572118682748,92.2117202268431,88.64613458733882,47.02982906897984,38.365539618483254,7858.137177276587,50.09057971014492
10,45,9045,12.670702282577961,6.71222652109759,9.597080443233196,160.54669633372635,93.78071833648394,111.6121271322081,61.57248490219893,42.327345752371606,12457.266922976183,43.75
11,45,10045,13.566230562039175,7.136236494463256,9.748115376331292,184.04261166240573,93.21361058601134,109.66472266141054,59.51344109761736,41.433302060871654,12026.351396404089,45.153985507246375
12,45,11045,13.860350238249932,7.303967368024857,10.186350242609985,192.10930872695496,92.66540642722117,118.28997679757177,64.02027743545902,42.587023631241486,13992.518610770067,45.471014492753625
13,45,12045,12.957316999342913,6.889872668367939,9.457913993061169,167.89206382146085,92.85444234404537,114.66851729347387,65.75227629672887,41.84822817139512,13148.868858283715,34.55615942028986
14,45,13045,13.894786915395649,7.255028065094009,10.033796841186568,193.0651034242501,93.062381852552,129.8868897354553,71.87749121724434,44.20092303231931,16870.604125150323,33.74094202898551
15,45,14045,12.712089318751577,6.740294570746989,9.384838343455264,161.59721484791794,92.41965973534971,90.48732126423018,50.05406804217917,36.97758528941666,8187.955309576002,47.3731884057971
16,45,15045,13.227059407876748,6.846146062278679,9.278165698470989,174.95510057950077,93.57277882797732,128.0865965844496,70.62208782861853,45.35569362603017,16406.17622458754,42.934782608695656
17,45,16045,13.612956280695181,7.088401730371196,9.45857905352519,185.3125787001184,91.94706994328922,153.29987560718226,84.46881581902045,48.64608806188123,23500.85186117755,45.108695652173914
18,45,17045,13.792609060466337,7.1859470269042625,9.63489337693688,190.2360646948581,93.81852551984878,119.9845569474672,66.55054897732317,44.45268093869691,14396.29390588,50.815217391304344
19,45,18045,14.191758140031801,7.410155697466053,9.88816813833794,201.4059991051589,92.49527410207939,104.76093045509455,57.21026700540913,40.90291862224295,10974.852549817157,46.73913043478261
20,45,19045,14.421942569963146,7.60970357126069,10.262962553645997,207.9924274913152,92.77882797731569,82.9027543546653,45.289152962907366,38.61655052708627,6872.866679589978,52.9891304347826
21,45,20045,13.601530370176325,7.034736145001602,9.698720256757955,185.00162841082894,93.62948960302458,132.6703417860777,72.24457156954963,45.69104889770681,17601.419589634676,48.505434782608695
22,45,21045,13.3163192763083,6.985569272203264,9.66994855992771,177.32435906858004,93.21361058601134,92.56381673340465,50.4426883258558,39.9503517050899,8568.060168255322,52.9891304347826
23,45,22045,13.59044683192326,7.07123280276734,9.640439650421262,184.70024509133296,93.40264650283554,105.08140832487078,56.48372193152639,41.76061150817548,11042.102375538223,44.42934782608695
24,45,23045,14.258193396816289,7.57184588233504,10.19051104913449,203.29607894101562,93.02457466918715,67.01067689341275,36.45748307592383,35.214284951001694,4490.430817713362,54.166666666666664
25,45,24045,13.073156830395204,6.899958353523961,9.315372051083038,170.90742951210876,93.19470699432893,111.16890298697282,61.29080373057728,41.069227784410465,12358.524991326976,41.03260869565217
26,45,25045,12.836863302007863,6.743559866538992,9.460206738409282,164.78505943443622,92.85444234404537,95.96344898112152,53.394818643350064,39.02790552337769,9208.983540352312,44.11231884057971
27,45,26045,14.45628460303576,7.5216536196057415,10.080373891305678,208.9841645239688,92.77882797731569,94.0899794038259,50.5001583780155,40.50315070233043,8852.924224212382,49.32065217391305
28,45,27045,12.80109779205222,6.846835991445294,9.40946591739415,163.8681046816842,92.77882797731569,87.51775379626308,46.57046949639747,38.39933123800171,7659.3572295433205,57.653985507246375
29,45,28045,13.283047976657112,6.950493834310051,9.604753932369668,176.4393635501746,93.15689981096408,118.02970320025155,64.19365959106148,42.33001700793336,13931.01083753947,49.72826086956522
30,45,29045,13.269468151026407,6.887990026744542,9.384034129554923,176.07878501110417,93.17580340264651,135.18565343217315,74.09043993479014,45.293489987344984,18275.16089388363,45.335144927536234
31,45,30045,13.922974592038353,7.226989280142362,9.753563630399697,193.84922149054555,91.75803402646503,129.4686877347071,71.03713427681882,48.61345704508973,16762.141103747097,39.67391304347826
