,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
12,13.6446,0.5518,118.9725,18.5955,7.1079,0.2022,65.2527,10.6865,9.6445,0.1796,43.725,2.9374,92.589,0.9199,46.6803,5.3554,50.0
23,13.5605,0.468,110.1294,20.1075,7.0904,0.1745,60.1306,11.4567,9.6583,0.2222,42.5626,3.3362,92.6389,0.9581,48.5263,6.0379,50.0
34,13.7515,0.6847,118.1897,21.621,7.1717,0.2996,64.678,12.3085,9.7154,0.3172,43.5359,3.4372,92.656,0.8619,46.4212,5.7282,50.0
45,13.5804,0.4494,110.9715,19.379,7.1119,0.2139,60.6141,11.0366,9.7402,0.2633,42.5857,3.1141,92.8234,0.7486,47.1784,5.1867,50.0
56,13.8498,0.9162,118.1895,21.8388,7.1832,0.3693,64.7056,12.3012,9.6899,0.294,43.8101,3.2071,92.49,1.0542,47.3632,5.7947,50.0
67,13.7382,0.7213,117.8003,21.9809,7.1596,0.2769,64.3541,12.4525,9.7131,0.237,43.9577,3.2398,92.6106,0.8316,47.4466,5.2047,50.0
78,13.6293,0.5218,117.0499,17.4291,7.1051,0.2125,64.0547,9.9665,9.6835,0.2308,43.3548,2.9171,92.789,0.8756,46.5697,5.6581,50.0
89,13.5944,0.505,113.2949,22.9567,7.0982,0.2021,62.0551,13.0128,9.6746,0.2428,43.0076,3.1368,92.6495,1.0556,47.2862,6.0939,50.0
90,13.4881,0.5155,113.4964,19.7388,7.0543,0.1986,62.17,11.3417,9.6282,0.1924,42.8422,3.1107,93.0193,0.5785,47.5462,4.9742,50.0
42,13.6643,0.5951,113.5669,18.5361,7.1137,0.228,62.0673,10.4153,9.662,0.2351,43.1464,2.8256,92.7599,0.8569,47.8288,5.3296,50.0
