Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,12,12,22.117965101071267,15.402914501723243,30.465841994993188,489.2043802122065,91.51228733459357,135.21117678176347,75.3671115667852,69.01509053047373,18282.062326709296,48.867753623188406
2,12,1012,19.65395558920418,13.725792806153876,29.750795035835598,386.27797030241027,92.117202268431,134.13934076324406,76.374932833465,81.88997049628026,17993.362740397708,47.01086956521739
3,12,2012,18.836253821227803,13.187244003822565,32.341881013873696,354.80445801771907,92.74102079395085,106.53061869458871,58.70134038034002,72.68374775970683,11348.772719451854,63.45108695652174
4,12,3012,23.1360483397598,16.120450541018165,41.370469527450275,535.2767327797021,89.14933837429112,168.08743570509483,97.52513485147531,85.7175375076154,28253.38604191439,37.54528985507246
5,12,4012,20.60563706514817,14.314988831194308,29.37540650199711,424.5922788606081,91.98487712665407,135.79867639963405,75.62214815054968,60.848071941165514,18441.280511892528,42.934782608695656
6,12,5012,21.99844431524407,15.409160891337624,35.63436596181045,483.931552290894,92.04158790170133,179.24183069199648,103.33922489566335,87.14516706643155,32127.63386981833,45.289855072463766
7,12,6012,22.394176800567074,16.202268299939913,39.94425767141646,501.4991545750565,91.60680529300566,158.8854830203179,90.98479377505453,84.64495168342151,25244.596714599727,46.78442028985507
8,12,7012,19.989505222901983,13.364202899285702,26.440689136632074,399.5803190564256,91.73913043478261,155.70992943761942,86.42087223580421,66.7503232202371,24245.582125468416,52.03804347826087
9,12,8012,24.13705417719819,16.293845835041473,35.75852798754019,582.5973843530007,89.5085066162571,176.45221947211837,100.83212586674884,86.21270372690168,31135.38575663663,41.39492753623188
10,12,9012,20.094402068768936,13.758099410655923,29.626448369713827,403.78499450134535,92.0226843100189,152.82099698264457,84.53950929021445,60.01310633154541,23354.25711876946,57.110507246376805
11,12,10012,21.707710944631966,15.099922738738195,33.42349668576372,471.2247144556944,91.2476370510397,173.0549435061942,98.4387879328648,77.66770697536765,29948.01347193207,44.927536231884055
12,12,11012,21.105222607558492,14.79807938019134,37.61688941978332,445.430421314598,91.79584120982986,168.47485861414717,95.85521060195812,63.29759926115063,28383.777985056877,53.44202898550725
13,12,12012,22.348649941272377,15.186281174583268,32.63215820936498,499.4621541975339,91.66351606805293,170.83223937961367,97.13772746296443,78.28632728374976,29183.65401145363,48.91304347826087
14,12,13012,22.921927102564023,15.638435429545748,32.23313403211468,525.4147420952592,91.07750472589792,170.01103190363943,97.16346466647958,78.81471530222417,28903.750968940305,45.335144927536234
15,12,14012,22.287984560675234,15.148619234230415,31.609947138677757,496.7542557768976,91.85255198487712,189.3183219300529,108.32272021191837,100.0898571918964,35841.427018411145,47.91666666666667
16,12,15012,21.231286453206796,15.020176465349623,33.08923009011643,450.76752445812235,89.84877126654064,145.5331258294319,81.84312801836046,68.36284359188203,21179.89071368526,51.177536231884055
17,12,16012,23.02367061078388,15.777015277094629,32.78572612799269,530.0894083938734,89.60302457466919,136.52061678224553,75.3546744945338,54.4445340036707,18637.878806604742,49.0036231884058
18,12,17012,20.561050211071816,13.967350913371876,27.663480569356537,422.7567857822164,93.61058601134215,145.21043849229682,80.38182462206859,60.54322736693399,21086.071447125116,54.43840579710145
19,12,18012,22.166772010623205,15.339366750091562,33.869031532472036,491.3657813709483,93.21361058601134,156.07592579611736,89.42293329028999,94.46511061619228,24359.69461311513,45.969202898550726
20,12,19012,22.542508827165125,15.357975379581418,31.11614613667922,508.1647042228176,88.58223062381853,179.02666126230284,100.28005636396836,67.94790133427817,32050.545442727325,54.21195652173913
21,12,20012,22.15804620023411,15.350943097741283,32.66629765913505,490.9790114117093,91.72022684310019,210.4739954131685,121.27190681733481,101.14828645466932,44299.30274518247,50.27173913043478
22,12,21012,25.32420622006511,17.383251310085623,40.196552269246375,641.3154206763845,88.82797731568998,157.809291575635,91.98918046210555,90.56774926508618,24903.772507603786,48.822463768115945
23,12,22012,21.97186548366775,15.09925213167485,37.4611387052205,482.7628728323902,91.51228733459357,182.0529810941694,105.1077137872797,90.84527425656019,33143.287925274,48.596014492753625
24,12,23012,21.91791317395231,14.468637878917077,30.12964923967162,480.3949179009122,91.98487712665407,165.4942147476929,92.56184851482853,70.42299623531618,27388.33511495549,49.41123188405797
25,12,24012,20.68734234635129,14.836581097502693,36.00666453756727,427.96613335513933,93.25141776937618,154.70323389524503,87.31671910639024,91.68203404572718,23933.09057764689,50.63405797101449
