,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
12,22.1153,1.6257,164.2505,25.5254,15.2361,1.0768,93.5797,15.5274,33.907,3.6871,79.7203,14.6823,91.1429,1.5063,47.9348,4.7832,50.0
23,21.8874,1.4353,154.7358,30.9291,15.1099,0.9178,87.6066,18.2876,33.7958,3.43,76.5406,13.2345,90.8529,1.6336,48.1033,4.9431,50.0
34,21.7161,1.6134,155.4944,29.0591,14.9474,0.9645,88.147,17.2384,32.938,3.5875,76.9129,13.0215,91.1108,1.2914,47.4049,5.4123,50.0
45,22.1678,1.6839,165.7695,45.0391,15.2855,1.105,94.2496,24.681,33.5495,3.6867,88.1251,49.0512,90.6794,1.7151,47.7409,7.0765,50.0
56,22.1464,1.4016,167.7895,30.6947,15.246,0.9408,95.9711,17.8688,34.1291,3.7045,80.5593,10.7495,90.7191,1.4989,46.3116,5.8531,50.0
67,21.679,1.4275,157.0421,30.1714,14.9815,0.9106,89.6147,17.4638,32.9605,3.6021,79.5387,13.4585,91.1062,1.6718,46.5118,4.519,50.0
78,21.9187,1.3287,164.8811,28.4742,15.1135,0.8925,94.0034,16.9699,33.7495,4.4095,77.4613,13.9042,90.9342,1.5234,46.9176,4.9736,50.0
89,22.0164,1.5018,168.6403,29.2042,15.1666,1.0332,96.3327,17.2887,34.0822,4.1423,80.7261,11.9112,91.0371,1.4043,47.4004,4.1267,50.0
90,21.8528,1.3487,165.0868,31.4387,15.076,0.8908,94.2848,18.7322,33.7444,3.1466,81.6393,14.9407,90.7093,1.4948,46.7065,5.7733,50.0
42,22.1254,1.5017,160.8909,34.9414,15.1771,0.9755,91.7,20.2224,33.3269,3.5494,80.5961,14.5236,90.8208,1.5486,47.0399,5.3437,50.0
