,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
12,16.1739,1.3547,126.6248,31.6848,8.491,0.6105,68.8633,17.8697,11.5012,0.5493,45.5477,5.9939,93.2347,1.2182,49.4601,5.4675,50.0
23,16.0751,1.3506,124.8258,28.9582,8.4427,0.6207,67.8248,16.2922,11.5072,0.6366,45.3412,5.6042,93.3474,1.1396,49.3062,6.0826,50.0
34,15.9926,1.2613,124.0131,28.7702,8.4044,0.5813,67.6168,16.1754,11.4893,0.6286,44.8038,5.4103,93.4917,0.9699,48.2255,6.7021,50.0
45,16.1913,1.7921,127.6664,33.669,8.5013,0.769,69.505,18.9142,11.5339,0.5684,45.6604,6.363,93.3186,1.3537,49.1024,5.6622,50.0
56,16.0041,1.3976,124.4924,29.9563,8.4066,0.6496,67.6284,16.7285,11.4664,0.7451,45.0542,5.7606,93.4329,1.0172,49.538,4.7801,50.0
67,16.1613,1.6333,127.4892,29.3248,8.4621,0.705,69.4332,16.486,11.4721,0.7347,45.4241,5.6015,93.3494,1.0751,49.9049,5.0356,50.0
78,16.2287,1.2948,117.3446,25.1285,8.5673,0.6381,63.662,14.201,11.7686,0.8172,44.0349,4.5498,93.294,1.1987,50.4022,5.3554,50.0
89,16.5128,1.7276,126.0317,32.9205,8.6702,0.8139,68.6104,18.4118,11.6892,0.733,45.4987,5.9316,92.9357,1.3252,49.5326,5.8357,50.0
90,16.5765,2.1843,125.8188,34.4114,8.6845,1.0128,68.4758,19.3646,11.6821,0.9362,45.379,6.3893,93.0027,2.4695,49.9013,5.7979,50.0
42,16.1178,1.4925,124.8399,30.0259,8.4492,0.6413,67.807,16.8103,11.4662,0.5212,44.9678,5.4645,93.4725,1.1951,48.731,6.5375,50.0
