Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,78,78,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
2,78,1078,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
3,78,2078,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
4,78,3078,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
5,78,4078,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
6,78,5078,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
7,78,6078,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
8,78,7078,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
9,78,8078,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
10,78,9078,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
11,78,10078,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
12,78,11078,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
13,78,12078,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
14,78,13078,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
15,78,14078,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
16,78,15078,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
17,78,16078,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
18,78,17078,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
19,78,18078,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
20,78,19078,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
21,78,20078,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
22,78,21078,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
23,78,22078,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
24,78,23078,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
