,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
12,167.9754,0.0,314.7749,0.0,101.3632,0.0,190.8281,0.0,100.0,0.0,100.0,0.0,39.7645,0.0,30.5254,0.0,50.0
23,167.9754,0.0,314.7749,0.0,101.3632,0.0,190.8281,0.0,100.0,0.0,100.0,0.0,39.7645,0.0,30.5254,0.0,50.0
34,167.9754,0.0,314.7749,0.0,101.3632,0.0,190.8281,0.0,100.0,0.0,100.0,0.0,39.7645,0.0,30.5254,0.0,50.0
45,167.9754,0.0,314.7749,0.0,101.3632,0.0,190.8281,0.0,100.0,0.0,100.0,0.0,39.7645,0.0,30.5254,0.0,50.0
56,167.9754,0.0,314.7749,0.0,101.3632,0.0,190.8281,0.0,100.0,0.0,100.0,0.0,39.7645,0.0,30.5254,0.0,50.0
67,167.9754,0.0,314.7749,0.0,101.3632,0.0,190.8281,0.0,100.0,0.0,100.0,0.0,39.7645,0.0,30.5254,0.0,50.0
78,167.9754,0.0,314.7749,0.0,101.3632,0.0,190.8281,0.0,100.0,0.0,100.0,0.0,39.7645,0.0,30.5254,0.0,50.0
89,167.9754,0.0,314.7749,0.0,101.3632,0.0,190.8281,0.0,100.0,0.0,100.0,0.0,39.7645,0.0,30.5254,0.0,50.0
90,167.9754,0.0,314.7749,0.0,101.3632,0.0,190.8281,0.0,100.0,0.0,100.0,0.0,39.7645,0.0,30.5254,0.0,50.0
42,167.9754,0.0,314.7749,0.0,101.3632,0.0,190.8281,0.0,100.0,0.0,100.0,0.0,39.7645,0.0,30.5254,0.0,50.0
