Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,56,56,159.0226332700095,116.53300197435462,4.934520077004832,25288.19789212793,94.34782608695652,1300.3055080045767,981.7624766031901,18.279796381151357,1690794.4141470406,56.25
2,56,1056,162.4152957206623,115.90806778617527,4.829173693854343,26378.72828403018,92.17391304347827,1558.5327407780985,1280.2163009643555,25.85808717883787,2429024.304077292,19.791666666666664
3,56,2056,187.44711378555272,146.1263820482337,6.946070396909208,35136.42046653395,92.6086956521739,1503.5525164751498,1200.0671641031902,23.547650301136805,2260670.1697987556,30.208333333333332
4,56,3056,191.11651257375726,153.1114549719769,6.799050925981254,36525.521378355115,94.34782608695652,894.4748688827714,689.7014439900717,17.516704601563795,800085.2910628511,89.58333333333334
5,56,4056,187.63216958672066,153.13010519276494,7.010775971466468,35205.831063819904,96.08695652173913,855.1770693032776,671.1805852254232,14.155588755468203,731327.8198621428,78.125
6,56,5056,158.2488342923147,117.59078475288723,5.038631610253566,25042.693554876485,95.21739130434783,695.2105707764013,515.0553512573242,11.899920483960603,483317.7377192496,91.66666666666666
7,56,6056,142.6811328214583,104.2603223717731,4.467287583091657,20357.905663214624,95.21739130434783,998.000310762411,762.9810841878256,14.870574671369283,996004.620281869,56.25
8,56,7056,152.0948534377392,115.15799029806386,4.974625800724475,23132.844442247373,94.78260869565217,751.1156228482146,573.3048477172852,11.816435086244585,564174.6788866613,83.33333333333334
9,56,8056,150.28454054360785,112.36210141389266,4.860096131951522,22585.443126403312,93.47826086956522,751.8261112779106,572.9021275838217,11.795827849136883,565242.5015992653,83.33333333333334
10,56,9056,149.48539490473647,111.09115467900816,4.802315322133419,22345.883289825008,95.65217391304348,1170.334181211537,914.925173441569,17.75564217965334,1369682.0957120787,48.95833333333333
11,56,10056,150.34762160665616,116.70837508491847,5.2023146382222984,22604.40732277826,93.91304347826087,859.7401632705289,641.8557510375977,12.533770939636794,739153.1483404357,71.875
12,56,11056,561.8713164281351,362.82350994607674,13.934261691034191,315699.3762246855,88.69565217391305,2927.768901860103,2533.8731575012207,55.52420799299339,8571830.742699115,17.708333333333336
13,56,12056,160.3290482411185,119.27460565981657,5.086363676325058,25705.403709902905,93.47826086956522,1352.1820035155104,1100.357588450114,22.06827615441589,1828396.1706312194,25.0
14,56,13056,148.6729583556288,111.65400549847146,4.858357954369928,22103.648546214532,93.47826086956522,839.2824857823398,619.2851155598959,11.890483575004621,704395.0909409834,68.75
15,56,14056,144.83045750456785,107.68302161175272,4.625197281476157,20975.86142098243,93.91304347826087,1000.5289020950086,759.3146794637045,14.728228486453801,1001058.0839274433,60.416666666666664
16,56,15056,163.20623757692752,116.83281939962636,4.910518169335123,26636.275984016513,93.04347826086956,1679.3972235633303,1406.5547205607097,29.250218416997527,2820375.0345122223,15.625
17,56,16056,154.92753958166512,117.59615903108016,5.185351555213503,24002.542520828414,94.34782608695652,1192.1645425981937,926.5143102010092,18.126149911274805,1421256.2966283604,55.208333333333336
18,56,17056,147.09751524699857,110.84203676970108,4.856883313620621,21637.678991840974,93.91304347826087,1077.0988316761322,836.1251017252604,16.21233002830568,1160141.893198089,53.125
19,56,18056,142.510513782788,105.02675515879756,4.537615795920194,20309.24653863421,93.47826086956522,781.2935975559468,605.7318674723307,12.508244747424838,610419.6855819138,84.375
20,56,19056,164.70247242151984,125.6179008152174,5.365891725242514,27126.9044217615,93.47826086956522,697.7223191324681,523.624277750651,11.846777430866464,486816.4346155897,90.625
21,56,20056,178.53945274191446,134.1198205035666,6.001001203891761,31876.336185382308,95.21739130434783,869.7196374492215,661.0955479939779,13.058706936581318,756412.2477648053,69.79166666666666
