,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
12,154.6207,12.4703,1040.8401,225.8758,115.8396,13.9694,818.2522,205.8473,5.0513,0.7734,16.5198,4.2545,93.9304,1.1282,55.8333,19.8771,50.0
23,157.279,14.8702,1093.8398,332.8996,119.6381,14.6365,864.6014,301.6869,5.245,0.7489,18.0047,6.8693,93.7217,1.4833,58.5417,23.0467,50.0
34,160.4683,15.544,1041.5942,247.0161,122.4116,16.0633,811.7593,224.2289,5.4368,0.9156,16.4804,4.6957,93.6261,1.3368,60.3542,21.1994,50.0
45,156.0553,13.5649,1122.1745,398.5706,117.5321,14.0807,891.4788,359.9626,5.1402,0.7573,18.2713,7.8811,94.1043,1.1186,55.3333,22.7855,50.0
56,166.3822,58.6804,1101.1728,385.4494,124.078,36.9796,865.0655,347.5686,5.3878,1.4302,17.729,7.3793,93.7565,1.4639,58.0208,23.5253,50.0
67,152.5889,11.7783,1044.8578,233.5373,114.8137,12.779,819.5296,206.4726,5.0229,0.7055,16.7902,4.5247,93.9043,1.2561,58.1458,21.3299,50.0
78,156.6186,12.7679,1071.8318,270.9854,117.4856,12.7898,845.0773,240.8623,5.1264,0.706,17.0466,4.8418,93.5739,1.3841,55.1458,21.8972,50.0
89,160.675,16.3899,1058.2168,326.3769,122.6829,16.244,834.9739,294.2644,5.3856,0.8419,17.2595,6.1302,94.0,1.7146,59.9792,25.3414,50.0
90,161.7342,29.1029,1170.7414,487.1103,122.9896,27.3291,931.1393,448.1169,5.459,1.5778,18.8065,10.2182,92.8261,6.6476,51.4167,20.8076,50.0
42,160.3823,17.2054,1116.7357,313.6717,121.3867,15.6349,875.4804,271.3841,5.3106,0.7736,17.7184,5.6805,93.5739,1.3184,56.0208,22.5114,50.0
