Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,45,45,128.75912714034598,93.48777784499447,3.8675857225778767,16578.91282194378,93.80530973451327,1621.4228605227304,1354.14546585083,28.025097567411777,2629012.0926257134,18.75
2,45,1045,128.85622304869193,96.7210239646709,4.081780985578464,16603.926218374247,94.24778761061947,865.2545690846746,682.4724858601888,13.942419113959028,748665.469321906,57.291666666666664
3,45,2045,132.6238680187854,94.6230366124516,3.8562047533316663,17589.090368264213,93.36283185840708,1735.6930550450472,1460.6732699076335,30.5548560049233,3012630.381331609,15.625
4,45,3045,129.1410684552945,93.206294507052,3.817895237022851,16677.41556177506,93.80530973451327,1694.472258698583,1429.9587109883626,30.01146439887169,2871236.235499077,17.708333333333336
5,45,4045,131.7013141755875,95.96851342125277,3.9556104927498192,17345.236155576808,93.36283185840708,1509.404779884746,1263.971398671468,26.2602150899868,2278302.7895389185,20.833333333333336
6,45,5045,129.6431200717185,93.40773590898092,3.8275483328401494,16807.33858193002,94.24778761061947,1571.528157372657,1314.3468348185222,27.274282969061147,2469700.7494150987,19.791666666666664
7,45,6045,146.81536454151737,101.33674283998202,4.037027800845476,21554.75126545863,92.92035398230088,2069.547179722581,1744.7284329732258,36.50832713719035,4283025.529097688,14.583333333333334
8,45,7045,130.86136666138503,93.47472334330061,3.8129678891107868,17124.697284485454,94.24778761061947,1687.4466518071167,1415.7469431559246,29.49170270819197,2847476.202695049,17.708333333333336
9,45,8045,132.3211403738626,97.20264806156665,4.043318554749556,17508.88418983945,92.92035398230088,1137.6264774987126,931.5102996826172,19.088020913113798,1294194.0023061286,35.41666666666667
10,45,9045,127.51837306565133,93.11179804168971,3.840070484799454,16260.935469310632,93.36283185840708,1440.701970467474,1200.5829060872395,24.860323144288223,2075622.1677088626,23.958333333333336
11,45,10045,130.1479096604829,95.88876045699668,3.990311354529447,16938.47838899322,92.92035398230088,1482.5254557023172,1222.5036392211914,24.944042872476032,2197881.7268053633,23.958333333333336
12,45,11045,129.1420602574364,96.68057980157633,4.0426539320172195,16677.67172753534,94.24778761061947,988.9175863189716,793.7395222981771,16.18303869570676,977957.9925309407,41.66666666666667
13,45,12045,127.09745310523091,93.94492522383158,3.8979582508117927,16153.762585836372,94.24778761061947,1138.4183598141447,946.9036661783854,19.80825325420003,1295996.3619619273,29.166666666666668
14,45,13045,130.7222413103519,93.7944211706651,3.841407989370755,17088.304373201874,94.24778761061947,1747.2696648830138,1472.459587097168,30.816331824740967,3052951.281820399,14.583333333333334
15,45,14045,126.41602336636468,93.34664295837942,3.8833689052096365,15981.010963765262,93.36283185840708,1467.021216893646,1223.6004104614258,25.34966089996928,2152151.250816114,21.875
16,45,15045,131.51616263204045,98.59297058645603,4.114829441015766,17296.50103345731,93.36283185840708,1131.8690532302141,931.600596110026,19.193555101138703,1281127.5536602612,32.29166666666667
17,45,16045,133.57498140945535,101.16783965794386,4.232888279041214,17842.27565853634,93.80530973451327,1066.225619374292,873.7111612955729,18.033028382309332,1136837.0714100923,36.45833333333333
18,45,17045,130.7721859185724,93.71188057418418,3.830550659165693,17101.364609921664,94.24778761061947,1575.6722687832157,1319.588675181071,27.434655669579783,2482743.0986124463,19.791666666666664
19,45,18045,129.76428209402567,99.51586211888136,4.2471547889282,16838.768907377875,93.80530973451327,892.1206946431083,703.116933186849,14.20654136969868,795879.3338105021,47.91666666666667
20,45,19045,143.32831363112575,99.63937458949806,3.9974004995750176,20543.00548834235,93.36283185840708,1825.2656920611093,1526.1651941935222,31.593782212892663,3331594.8466153205,16.666666666666664
21,45,20045,130.3494854943148,99.05318106592229,4.21779905318478,16990.988368632585,93.36283185840708,935.174530237809,750.3945846557617,15.39331483902294,874551.4020055067,43.75
22,45,21045,137.74614765181886,96.88086153553651,3.9213617395873097,18974.00119291668,93.80530973451327,1876.4717786913652,1580.2058817545574,32.94848347865981,3521146.3362251357,14.583333333333334
23,45,22045,127.308865234939,93.44125825324944,3.8580892300342393,16207.54716740786,94.69026548672566,1406.9277811693862,1181.882583618164,24.730704210088952,1979445.7814262125,22.916666666666664
24,45,23045,130.66774812221652,99.66749829317617,4.2299341466673335,17074.06039933102,93.80530973451327,792.5910599911559,623.1148071289062,12.801988480100684,628200.5883779041,60.416666666666664
25,45,24045,127.03886796739728,95.84045680223313,4.059031939086082,16138.8739744378,93.80530973451327,1395.8715640041296,1155.4681650797527,23.748379783976045,1948457.4231953348,25.0
26,45,25045,134.99325684678305,99.69366293037888,4.123579822864108,18223.179394101542,94.24778761061947,1281.2352955426131,1069.4401295979817,22.236194310631564,1641563.8825441673,25.0
27,45,26045,129.83707780399152,94.18107618483822,3.8712132874427194,16857.666772679746,94.24778761061947,1546.033871663963,1295.6342913309734,26.952297348055303,2390220.732332263,19.791666666666664
