,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
12,131.5882,5.2924,1401.158,327.0468,96.5488,3.9547,1160.5973,291.6248,4.0074,0.2155,24.0902,6.1232,93.9027,0.492,28.7708,17.3934,50.0
23,130.2493,3.6184,1452.6921,301.4033,95.1558,2.6914,1209.5869,268.9068,3.9346,0.1439,25.1447,5.6401,93.8053,0.5862,25.8542,16.4388,50.0
34,130.485,4.6864,1410.5276,299.7801,95.6917,2.6351,1174.0005,262.7699,3.9667,0.1251,24.3674,5.5836,93.7257,0.6173,26.1042,10.582,50.0
45,131.2539,4.2786,1418.2381,298.0306,95.8718,2.5938,1181.1826,262.6426,3.9616,0.134,24.5327,5.5756,93.9469,0.5614,25.4167,10.8946,50.0
56,130.8957,4.6105,1467.0483,286.0661,95.3922,3.1998,1223.3866,249.7918,3.9372,0.1549,25.4176,5.2319,93.9027,0.467,24.8125,13.5273,50.0
67,131.8835,5.8812,1425.3361,312.2933,96.4204,3.7927,1185.9055,274.1763,3.9887,0.1868,24.6158,5.7511,93.8407,0.6374,26.6458,14.3122,50.0
78,131.6649,5.9126,1446.6989,301.3371,96.2202,3.5593,1205.3423,262.2191,3.9767,0.1588,25.031,5.5245,93.7522,0.6361,25.5208,12.2914,50.0
89,131.169,4.7387,1405.3287,327.6964,96.3418,4.0155,1156.2165,282.328,3.9963,0.2059,24.0196,5.9302,93.8761,0.5608,30.0833,19.9179,50.0
90,131.5823,4.4999,1483.2305,300.6793,96.1434,2.932,1236.2878,263.788,3.976,0.1543,25.6545,5.631,93.6018,0.7383,24.25,11.1499,50.0
42,130.1413,4.7754,1463.3428,264.1202,95.3473,2.7185,1220.2486,230.3986,3.9512,0.1311,25.3268,4.8676,93.8142,0.5688,23.5208,7.8435,50.0
