Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,34,34,136.00409066605184,95.5609820822011,3.89298935973471,18497.11267789965,93.91304347826087,1738.4375260519998,1454.053559621175,30.124426113660235,3022165.0319857975,17.708333333333336
2,34,1034,129.40096787219122,97.73280560037364,4.107831253713306,16744.610486259862,93.91304347826087,1130.0083177663769,924.9704284667969,18.946988810382468,1276918.798221197,35.41666666666667
3,34,2034,152.41178663021444,103.95586786684783,4.088444549944836,23229.352703814013,91.30434782608695,2061.4327942823948,1729.704123179118,35.804271195817655,4249505.165342922,11.458333333333332
4,34,3034,135.31963531932777,95.86709355893342,3.915407985521144,18311.403702955857,93.91304347826087,1882.491345731952,1583.8776041666667,33.08263648781531,3543773.6667556954,14.583333333333334
5,34,4034,132.08345001132545,93.98616784137228,3.8671431014782995,17446.03776689431,93.91304347826087,1731.4781521995747,1448.7195485432942,29.996180857597217,2998016.5915444535,16.666666666666664
6,34,5034,132.83295258589246,95.21605914572011,3.920710258437237,17644.593292685953,93.47826086956522,1713.256040092357,1439.1869277954102,30.015365044174036,2935246.2589129433,17.708333333333336
7,34,6034,134.58815358752935,100.70086192255435,4.293476209088854,18113.97108610039,93.91304347826087,1290.4597420331709,1046.3675715128581,20.939422526798737,1665286.345808318,32.29166666666667
8,34,7034,127.6399803207194,93.74353451936142,3.89962086508237,16291.964576273638,93.91304347826087,1369.9587634590878,1136.772196451823,23.393121274801874,1876787.0135783528,23.958333333333336
9,34,8034,134.98206879029013,95.90296790081521,3.9419407913250613,18220.158894906614,92.6086956521739,1769.6805053285239,1493.5261090596516,31.34600804659362,3131769.09093982,15.625
10,34,9034,128.63733369589997,92.29289763077446,3.808342398453577,16547.563620390323,93.04347826086956,1642.278952266713,1372.0032819112141,28.362362124429136,2697080.1570582525,18.75
11,34,10034,138.3693712996744,96.8872314453125,3.9146343032002475,19146.082913867158,92.6086956521739,1883.8348850436946,1591.880578358968,33.24027179259312,3548833.8741075904,12.5
12,34,11034,154.89575081781334,123.22170728600544,5.376732578153038,23992.69362141412,90.43478260869566,523.5867039374245,361.28004964192706,7.730771281592906,274143.0365400563,93.75
13,34,12034,186.66089860200256,133.7646627674932,5.246146639465958,34842.291066907084,85.65217391304348,2629.909764446198,2201.8249003092446,46.14980120635955,6916425.369129457,21.875
14,34,13034,131.49563251517858,93.89206383746603,3.8638162868423502,17291.10137056689,93.91304347826087,1662.8537774468155,1388.8373120625813,28.712993562957266,2765082.685169143,17.708333333333336
15,34,14034,128.25412971274184,92.73714546535327,3.8296116112454084,16449.121788372813,94.78260869565217,1601.6951600371717,1349.4635391235352,28.258716031181958,2565427.3856865014,17.708333333333336
16,34,15034,130.2545125170293,96.5883444081182,4.013688648068324,16966.238031048943,94.34782608695652,1048.7712461888377,862.1542154947916,17.96259087360947,1099921.1268324878,35.41666666666667
17,34,16034,130.93366724991674,94.02619894276495,3.889447452054942,17143.62521951192,94.78260869565217,1588.5452674106075,1337.2917213439941,27.955764702577213,2523476.0666126385,17.708333333333336
18,34,17034,145.39022450246964,103.13963304602582,4.203748410705836,21138.317380878525,93.04347826086956,1885.3621066196467,1591.4844983418782,33.393707564796735,3554590.2730772723,14.583333333333334
19,34,18034,135.61453297682505,103.69074547809103,4.442501355429921,18391.30155452237,93.47826086956522,662.2875073891688,513.0377680460612,10.691703351262657,438624.74244375835,78.125
20,34,19034,128.60463366926322,93.20339620838995,3.8467772718601125,16539.151801205393,94.78260869565217,1452.4269539073211,1215.175183614095,25.24470062293012,2109544.0564364996,21.875
21,34,20034,145.29765741811784,100.06787109375,4.001230804177696,21111.40925119273,91.73913043478261,2011.1147029446222,1676.6886698404949,34.685856218104554,4044582.3484000363,18.75
22,34,21034,129.86248235734604,99.40446883491848,4.229316482321428,16864.26432401201,94.78260869565217,1431.1149760754042,1203.8816006978352,25.205659102771726,2048090.0747473047,22.916666666666664
23,34,22034,130.26931525411837,94.924365234375,3.9388741553635453,16970.094496776877,93.91304347826087,1683.4161346659994,1429.4780108133953,30.23014621610282,2833889.882453814,15.625
24,34,23034,126.77329396108732,91.62904848845109,3.7999603462181453,16071.46806174426,93.47826086956522,1629.054063716176,1362.8648579915364,28.250804986147664,2653817.1425101864,18.75
25,34,24034,145.8068776731901,101.2262355638587,4.012478820396711,21259.645576804618,91.73913043478261,2055.8785797857095,1732.8573315938313,36.05652854978736,4226636.734821706,10.416666666666668
26,34,25034,126.49123046939883,93.89377812924593,3.932763948428545,16000.031385662569,93.91304347826087,1362.7563911734503,1135.8529052734375,23.5293022823166,1857104.9816840861,22.916666666666664
27,34,26034,128.29306555568596,96.72869342306386,4.062564300490313,16459.110669675534,94.34782608695652,1275.7882889558452,1069.797492980957,22.414291085356442,1627635.7582368832,23.958333333333336
28,34,27034,132.10058501638005,101.33102178158967,4.3063399571858945,17450.564561669853,93.47826086956522,971.1388478807294,785.251579284668,16.163546221643927,943110.6618631104,41.66666666666667
29,34,28034,137.3489176157673,96.1691554857337,3.8930608822643245,18864.72517022283,93.47826086956522,1888.5041048042885,1591.422462463379,33.162175340259395,3566447.753862647,14.583333333333334
30,34,29034,126.11879489521695,92.18319251019022,3.857843816426613,15905.950425821802,94.78260869565217,1661.802279685224,1397.2846069335938,29.107655593390614,2761586.8167670076,16.666666666666664
31,34,30034,154.32966140590213,105.18768310546875,4.123534644567403,23817.644389660396,91.73913043478261,2167.548945974418,1808.661922454834,37.42465737310651,4698268.433194811,16.666666666666664
32,34,31034,135.8159980586401,95.79676938264267,3.911149633471458,18445.985328664534,94.34782608695652,1728.3100878175592,1453.2441571553547,30.317436149026943,2987055.759651939,15.625
33,34,32034,130.91609676518368,94.52742601477581,3.928720317945634,17139.02439223094,93.47826086956522,1637.142909112144,1363.5978304545085,28.092384572188898,2680236.904856174,18.75
34,34,33034,128.73523026327473,93.61553583559783,3.8850369284526174,16572.75951093837,93.47826086956522,1466.354125589121,1219.1886800130208,25.114061680144072,2150194.4216322354,21.875
35,34,34034,130.71232138888354,100.87623927904212,4.326708871569711,17085.71096287078,94.34782608695652,1211.5430351717187,1002.4186681111654,20.716331627784456,1467836.5260731,27.083333333333332
36,34,35034,127.69735507552585,98.63039232336956,4.244504542232406,16306.614493284926,94.78260869565217,1411.741203246912,1181.8100280761719,24.605572632010567,1993013.2249450386,22.916666666666664
37,34,36034,135.13930780458668,95.60016081436821,3.922664128564567,18262.632513902823,93.47826086956522,1784.7405850782388,1500.6009686787922,31.29341436857946,3185298.956025414,14.583333333333334
38,34,37034,188.7784179858611,131.42791801120924,5.04446766270963,35637.29109724449,85.65217391304348,2633.738325879185,2230.352180480957,46.927052945383736,6936577.569204892,14.583333333333334
39,34,38034,125.60966424315869,93.46810780400816,3.9190022150497077,15777.787751279058,93.91304347826087,1425.2819778758098,1194.9520670572917,24.914405993832688,2031428.7164575804,22.916666666666664
40,34,39034,195.39647343272188,135.67853367017662,5.103421520206574,38179.78182994438,86.08695652173914,2641.7515568509084,2224.871209462484,46.597142151809415,6978851.288124197,16.666666666666664
41,34,40034,137.42979467112986,95.92959674337636,3.8821525300868625,18886.948463348916,93.04347826086956,1806.9687992819593,1514.9784889221191,31.434722485012646,3265136.241578486,15.625
42,34,41034,130.8685944653657,98.19305950662364,4.195164987640465,17126.589017340346,93.47826086956522,1437.444542219414,1185.9029871622722,24.183712693607127,2066246.8119563803,23.958333333333336
43,34,42034,137.00587378888886,96.82776940387228,3.945026153780567,18770.609452656947,92.6086956521739,1890.628087693334,1592.6297925313313,33.2494308259233,3574474.5659749527,14.583333333333334
44,34,43034,129.46287198765123,96.14942361582881,4.05459931089795,16760.63522329097,93.91304347826087,1122.2521444184172,916.1774851481119,18.724268535148628,1259449.8756517358,35.41666666666667
45,34,44034,129.83432386597624,98.81954770295516,4.183046113486784,16856.95165373521,94.34782608695652,1283.5570303569345,1070.2910334269206,22.251354373030207,1647518.6501787126,25.0
46,34,45034,134.4145984603847,103.80812298318614,4.474163041074726,18067.284279266452,93.47826086956522,829.1537603408344,657.4375356038412,13.57830630122956,687495.9582873458,56.25
47,34,46034,129.79929714322728,96.64759468410325,4.037810946869735,16847.857538875807,95.21739130434783,1014.9664118511272,836.923594156901,17.57375408176424,1030156.817185952,35.41666666666667
48,34,47034,133.18305101927515,94.58933689283288,3.8812774096996927,17737.725078802847,93.47826086956522,1621.5146667410804,1352.8510869344075,27.95088726754423,2629309.8144564372,18.75
49,34,48034,131.32598916479552,95.0210353685462,3.930397586716549,17246.515430111987,93.91304347826087,1603.2252008621385,1348.8891703287761,28.157636383576385,2570331.0446794443,16.666666666666664
50,34,49034,130.29220921241176,101.80057691491169,4.426110259088675,16976.059781450876,94.78260869565217,1337.1486256158323,1092.1808217366536,22.05905861583679,1787966.446986309,28.125
