,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
12,134.0559,11.8867,1599.8471,363.5922,97.5277,6.8474,1338.1193,313.7466,4.0293,0.2358,27.8056,6.6487,93.1826,1.649,21.1875,7.4809,50.0
23,132.9018,9.1974,1469.4706,390.5814,97.4902,6.0756,1224.1509,341.6131,4.0551,0.2686,25.4065,7.1876,93.3652,1.4824,26.3125,16.1673,50.0
34,137.1897,15.2236,1585.8867,443.33,99.7253,10.0181,1323.499,384.877,4.1163,0.3663,27.5065,8.1001,93.1391,2.1105,24.0625,15.435,50.0
45,131.7328,6.2747,1416.8713,336.7373,97.6598,5.4063,1176.7932,298.2583,4.0966,0.2944,24.3844,6.2261,93.6261,0.8544,26.7917,16.0315,50.0
56,132.078,7.9326,1425.1744,366.7645,97.1645,5.7367,1188.7716,320.6182,4.0473,0.2498,24.755,6.745,93.3391,1.2773,25.7917,14.0884,50.0
67,134.1262,9.6721,1554.3863,394.3217,97.3855,5.5404,1299.0489,341.9553,4.0231,0.2299,27.0146,7.1686,93.3913,1.2203,23.4792,13.8851,50.0
78,132.9654,8.0383,1500.2233,351.4535,97.3069,4.869,1250.1482,305.5035,4.0458,0.2306,25.9103,6.4155,93.5217,0.9909,24.4583,13.4954,50.0
89,131.205,5.6711,1420.2564,335.9745,96.8704,3.5156,1183.1418,293.2679,4.0445,0.1774,24.574,6.1667,93.4348,1.0365,25.375,10.8473,50.0
90,136.1441,9.8546,1511.1853,440.8165,99.374,7.3897,1259.4151,382.9439,4.122,0.344,26.1714,8.0316,92.913,1.6131,26.0417,15.8047,50.0
42,134.6531,10.069,1470.3678,397.269,98.0727,6.1707,1222.7689,343.3905,4.0635,0.2671,25.3244,7.1376,93.287,1.2643,26.0208,14.8325,50.0
