,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
12,262.9699,79.3304,3302.2069,4549.2555,212.8954,72.9135,2551.7244,2994.5951,9.7414,3.8115,61.1274,82.4565,75.4783,17.2834,48.4792,31.3478,50.0
23,289.1166,129.5569,39634.6527,232619.9691,236.4374,117.2748,15739.6747,79439.4866,10.4617,5.4179,530.9524,3028.9066,74.9304,18.7941,46.0833,27.5306,50.0
34,273.8711,76.3927,16426.2723,72071.6599,220.0872,65.0195,9370.8848,37533.5825,9.6434,2.8718,211.1489,859.2001,75.4174,13.5319,46.7708,30.203,50.0
45,294.195,88.9569,2967.6123,2152.8239,239.2828,82.02,2292.4281,1225.4521,10.3921,3.5736,52.6226,30.1306,71.8087,16.9326,47.9792,30.1084,50.0
56,324.0198,115.4605,7735.6168,17325.7836,265.5094,103.872,4743.2418,7870.4853,11.5908,4.7059,102.7797,159.4723,68.5826,18.1038,39.6042,29.7399,50.0
67,262.2947,70.1724,5481.4637,13296.034,209.1656,60.0675,3858.0257,7341.1566,9.2687,2.9247,87.2799,155.7839,75.3217,14.4526,38.7917,28.7927,50.0
78,260.5752,98.2381,111478902.7292,788235246.7534,209.6384,81.0708,30521470.3254,215791496.317,9.389,4.1805,711583.3138,5030953.4823,77.2696,13.1205,45.8125,32.4558,50.0
89,284.5463,104.0802,4946757.6778,34954192.3946,233.876,95.1323,1799339.0016,12704585.0857,10.4157,4.5731,49363.4302,348641.9157,72.3478,17.2237,40.1458,27.6387,50.0
90,258.8614,85.938,4962.8639,7048.8676,212.1147,79.2741,3627.3767,4468.3953,9.5456,3.9903,87.427,113.5431,74.3478,17.2622,49.875,27.8076,50.0
42,283.1428,99.1162,1571108577.2828,11109392599.3879,228.7057,86.4406,277894083.6666,1964989977.1133,10.0843,3.9552,11448450.896,80952354.0911,74.9043,15.0503,44.7292,30.3509,50.0
