Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,12,12,145.21182323135798,104.00361025649889,4.259253838462984,21086.473606175157,92.47787610619469,1358.6913091654878,1134.7581685384114,23.542153088402255,1846042.073601827,22.916666666666664
2,12,1012,157.85284106737384,114.64410886511338,4.691926724207642,24917.51943304159,87.61061946902655,2181.9115044133564,1860.2422574361165,39.432022226559084,4760737.813091355,11.458333333333332
3,12,2012,137.76311901218654,99.75511615044248,4.098700835119846,18978.676959965873,93.80530973451327,1708.8977154632182,1445.0018692016602,30.24018722276815,2920331.4019154063,15.625
4,12,3012,148.83872469722965,103.21371432954231,4.1426620471137,22152.965969497716,92.47787610619469,1705.1155127881373,1442.334795633952,30.404461171702795,2907418.9119507526,15.625
5,12,4012,152.37436807472733,115.97571664995851,4.923158603745006,23217.94804617248,94.69026548672566,1467.8863980567505,1244.1843668619792,26.27021079151448,2154690.477600021,18.75
6,12,5012,129.4485876015746,94.75245220893252,3.948257693478522,16756.936832042527,93.80530973451327,1625.1793688227526,1383.737055460612,29.252238013910812,2641207.9808471208,14.583333333333334
7,12,6012,154.87889327398108,114.65390419749032,4.8562024253017695,23987.47158177322,90.7079646017699,1637.7337775643045,1397.5380210876465,29.666464229189792,2682171.926175047,13.541666666666666
8,12,7012,148.3979199555174,111.34251849419248,4.769998667281864,22021.942647124153,94.69026548672566,1487.885039892222,1239.4703674316406,25.483700481026567,2213801.891935079,19.791666666666664
9,12,8012,194.76625256685801,156.67058029849971,6.780196014158217,37933.89313893713,85.39823008849558,781.5040257804499,610.7996571858724,12.47077581619742,610748.54231105,54.166666666666664
10,12,9012,134.98595770582435,97.78934066907495,4.060891240667808,18221.2087777586,94.69026548672566,1342.45152238091,1135.0182876586914,23.984605895636232,1802176.0899428234,23.958333333333336
11,12,10012,149.55783302067303,107.12670844424088,4.333338199518258,22367.545417839512,92.92035398230088,1624.3811797342598,1373.2716700236003,28.773207887384245,2638614.217074866,16.666666666666664
12,12,11012,145.3657920175507,104.95634581979397,4.282710170993986,21131.213488889807,93.80530973451327,1725.8283263341727,1463.2094027201335,30.704869896903418,2978483.4119774117,14.583333333333334
13,12,12012,135.0338898400431,103.75848874792588,4.402534038370575,18234.15140533289,92.92035398230088,1369.8700898806871,1141.4619140625,23.743897925143276,1876544.0631497216,23.958333333333336
14,12,13012,213.8136621504764,154.06261126763,5.893207569266056,45716.28212219806,84.070796460177,2821.688888181316,2382.614111582438,50.18151331389821,7961928.181685912,17.708333333333336
15,12,14012,134.77898997657567,96.81233741962804,3.987740305843472,18165.376139105883,95.13274336283186,1619.4110456299222,1363.7374534606934,28.38864725021752,2622492.1347081983,17.708333333333336
