,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
12,152.2987,23.8144,1576.4244,453.1289,111.7717,19.9853,1325.2353,390.1536,4.6118,0.8517,27.7986,8.1652,91.6018,4.6101,22.6042,14.5609,50.0
23,150.7036,15.4088,1507.6539,388.4082,111.4908,14.34,1264.1735,336.6223,4.6471,0.6854,26.4029,7.1038,92.3894,2.7553,22.6042,11.1423,50.0
34,153.6678,24.1321,1485.6681,421.2664,113.6674,19.5997,1241.1161,360.9594,4.7314,0.8289,25.8735,7.5841,92.0354,3.4052,24.1667,9.6417,50.0
45,145.1425,15.6556,1563.1336,367.558,106.4951,12.7494,1313.8484,316.5519,4.4188,0.5581,27.4864,6.6652,92.4779,2.7144,21.0417,9.6072,50.0
56,159.601,40.021,1670.2918,505.7483,117.2746,32.6759,1405.0288,428.9789,4.8045,1.2416,29.4508,8.9197,90.6195,6.3996,20.8542,10.8488,50.0
67,151.5133,20.7953,1504.564,472.6003,111.7887,16.2932,1259.4658,409.1628,4.6347,0.6438,26.3151,8.6071,92.2124,2.5583,24.9167,14.1061,50.0
78,149.217,24.892,1580.6561,365.0876,108.9475,19.4855,1327.0503,310.5242,4.4923,0.7611,27.7163,6.449,92.2743,3.712,21.1667,9.3132,50.0
89,154.695,20.5035,1551.8647,413.1353,113.5594,16.986,1301.8196,353.7688,4.7019,0.7455,27.2137,7.3567,92.177,2.6176,22.2917,11.1259,50.0
90,151.0865,19.3872,1496.3647,403.3534,111.5782,16.6674,1253.4085,348.1287,4.639,0.7476,26.1978,7.2687,92.1593,2.9514,24.1458,14.0113,50.0
42,149.4859,16.5391,1539.2425,413.2196,110.3021,13.3888,1290.5187,354.4062,4.5915,0.5848,26.9564,7.5144,92.5044,2.7486,22.2917,8.941,50.0
