,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
12,2498.7231,0.0,4752.4575,0.0,2333.1125,0.0,4388.6875,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0
23,2498.7231,0.0,4752.4575,0.0,2333.1125,0.0,4388.6875,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0
34,2498.7231,0.0,4752.4575,0.0,2333.1125,0.0,4388.6875,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0
45,2498.7231,0.0,4752.4575,0.0,2333.1125,0.0,4388.6875,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0
56,2498.7231,0.0,4752.4575,0.0,2333.1125,0.0,4388.6875,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0
67,2498.7231,0.0,4752.4575,0.0,2333.1125,0.0,4388.6875,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0
78,2498.7231,0.0,4752.4575,0.0,2333.1125,0.0,4388.6875,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0
89,2498.7231,0.0,4752.4575,0.0,2333.1125,0.0,4388.6875,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0
90,2498.7231,0.0,4752.4575,0.0,2333.1125,0.0,4388.6875,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0
42,2498.7231,0.0,4752.4575,0.0,2333.1125,0.0,4388.6875,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0
