Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,42,42,15.230392756680969,9.822824195321937,16.163296489099782,231.9648635227601,93.77664109121909,59.555589729369885,34.579018382205426,22.535217152814134,3546.868268013028,75.04084967320262
2,42,1042,15.938043168498425,10.056050454341982,15.584362552484551,254.02122004091927,92.48081841432226,110.24462364734597,67.62293549404684,38.29959946909584,12153.877043144956,46.364379084967325
3,42,2042,15.557944025557639,10.419083645338697,18.59810440478776,242.04962230238465,93.40153452685422,69.91362353430078,40.26151488860968,32.260399330718556,4887.914755695937,76.9607843137255
4,42,3042,15.674345384634192,10.148871874365835,17.236074831396913,245.6851032368032,93.81074168797954,59.79891773415406,34.53427808104907,21.966416469581556,3575.910562176125,76.47058823529412
5,42,4042,16.207333460506838,10.678243847567979,19.154850274216813,262.67765790006456,93.11167945439045,68.46312296069593,39.9067554823194,25.071691408065917,4687.19920553137,67.93300653594771
6,42,5042,16.127665701620895,10.37109217326014,17.303970863828784,260.101600983239,93.12872975277068,99.1920908764166,59.326915163165346,32.0318487481892,9839.07089243529,51.9607843137255
7,42,6042,16.046613217486183,10.558206598712413,18.078530263416493,257.4937957516023,92.53196930946291,69.49044309852762,40.25426582667433,25.484977574020984,4828.921682029705,66.83006535947712
8,42,7042,17.086359610297833,10.76359801595379,18.14735212042201,291.9436847324172,92.24211423699916,62.20799284315877,36.27936330716854,21.964027221668946,3869.8343735744925,76.55228758169935
9,42,8042,16.029460310151215,10.333893728818918,16.928281547061818,256.94359783471305,94.33930093776641,74.35882212629808,42.53552046419488,24.847716419434672,5529.234428010436,74.91830065359477
10,42,9042,15.251054368334696,10.04429869375774,17.50320298783583,232.5946593459008,93.70843989769821,60.401362092821394,37.04502097292923,25.77205020711375,3648.3245426681215,68.21895424836602
11,42,10042,16.3170313147789,10.648933899346508,18.55356507155696,266.24551092747527,93.96419437340154,66.94586688876211,38.56502080556363,25.72527319009698,4481.749093487855,78.51307189542483
12,42,11042,16.266876056185115,10.761093942817393,18.240819234234763,264.61125662728864,92.4467178175618,95.27945731933974,51.55428422380377,37.20237100136295,9078.174987067883,78.02287581699346
13,42,12042,16.409194423319587,10.524426553452685,18.805467615433063,269.2616616223026,92.9070758738278,66.20669717026932,39.75488445215224,28.103228089538142,4383.326750195748,75.24509803921569
14,42,13042,15.595615457912617,10.290040615005722,17.936408576878122,243.22322151108295,92.41261722080137,75.83271588133667,45.5862283599987,26.58590758463667,5750.600797939531,61.31535947712419
15,42,14042,16.721415986980993,10.760865646679552,18.864856022166986,279.60575260966357,93.72549019607843,66.60737116516819,38.29485502871553,22.10678152302741,4436.541893534478,75.53104575163398
16,42,15042,15.340110377239123,10.12370412759851,18.147018709281195,235.31898638587944,94.18584825234441,65.82025454018152,38.11835145143252,22.479226361061105,4332.305907734286,73.24346405228758
17,42,16042,16.209153175078,10.403328700908851,16.900093124767775,262.7366466531412,92.8388746803069,113.96945423747299,68.06286618251167,36.29785221394555,12989.036499187448,47.34477124183007
18,42,17042,15.184500026466152,10.195842558102893,18.41990919825,230.56904105375054,93.70843989769821,70.34476245923187,40.528376271100086,25.10102662996239,4948.385605445758,69.19934640522875
19,42,18042,16.517137540596746,10.551761865270237,17.682561224493888,272.8158325349903,93.33333333333333,84.7750766201303,48.87013464997277,28.05565902945371,7186.813615948963,58.90522875816993
20,42,19042,16.025670747874543,10.518543229238848,17.94495878917784,256.82212291928175,93.69138959931799,70.20404415752672,39.76968442567286,23.314469599992513,4928.607816071962,73.16176470588235
21,42,20042,15.291194431555178,10.121035400326202,17.95179824770187,233.82062714362408,94.18584825234441,60.9626824065971,34.94706461778913,21.861183210330307,3716.448646207623,76.83823529411765
22,42,21042,16.539152259577726,10.709783057418132,18.04167456555847,273.54355746549504,92.49786871270247,77.40004772846137,44.02605127405238,26.09904811299584,5990.767388368098,63.9297385620915
23,42,22042,15.770386961892372,10.44588399974636,17.5090522587019,248.70510492782492,93.26513213981245,91.82978067083107,52.93788800299298,29.430608099296606,8432.70861805294,57.557189542483655
24,42,23042,15.897762927384447,10.56232627589669,18.088776167239075,252.73886609531928,92.9070758738278,88.20110479280656,48.76738636211892,34.91253912350515,7779.434886671644,82.9656862745098
25,42,24042,14.726385283382378,9.803471083966448,17.343117933597792,216.86642351462106,93.17988064791135,78.22477123493707,44.75512350397692,36.82637425420553,6119.114834758237,80.35130718954248
26,42,25042,15.22116191098387,10.455920113021765,19.165116029237044,231.6837699203861,93.52088661551578,57.4272851277882,35.71881780213066,29.118267805222587,3297.8930771482837,76.87908496732027
27,42,26042,19.564766057526086,12.600034623864202,20.528490096022285,382.7800708857248,89.95737425404945,141.98632326118224,90.36301163559442,50.30517656646501,20160.115993228937,37.99019607843137
28,42,27042,16.620900198355212,11.4121344794504,22.529781292053233,276.25432340368434,90.41773231031543,89.72424492498826,53.52751351013163,34.12026859731749,8050.44012735928,51.633986928104584
29,42,28042,14.630272640904476,9.748031689928428,17.107759284093188,214.04487754719804,93.17988064791135,61.95578674697297,38.402610027881586,27.02140151541032,3838.5195114363914,72.75326797385621
30,42,29042,15.178171821871725,10.009312125396805,16.571443550366805,230.37689985426084,93.28218243819268,82.5193374904118,47.018962811297186,27.972052233708766,6809.441059856483,61.15196078431373
31,42,30042,15.44156597389906,10.06625466452134,16.311610410651877,238.44195972627722,92.9070758738278,117.13383494274531,70.50764761157416,39.420048860486546,13720.335288394303,46.77287581699346
32,42,31042,15.42035447423357,10.159713264596169,17.74523374207382,237.78733211101525,93.87894288150042,62.610452566349295,36.687752656942166,22.953545686381897,3920.0687705630753,76.30718954248366
