,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
12,15.8698,0.798,89.9677,43.5509,10.4234,0.4755,51.5115,22.6791,18.1415,1.4025,32.732,17.4004,93.261,0.8342,69.2541,12.2735,50.0
23,15.96,0.9498,78.75,16.6186,10.4931,0.5289,45.8182,10.0642,18.4347,1.2158,29.114,5.2294,93.2273,0.7774,69.3431,11.2291,50.0
34,15.9776,1.0245,76.3344,15.4794,10.4811,0.6634,44.4754,9.2421,18.2177,1.4366,28.2929,5.3097,93.4847,1.1859,70.8121,11.2228,50.0
45,15.6202,0.6506,81.6284,23.7275,10.2867,0.4244,47.4429,13.4836,18.014,1.4813,29.4766,8.296,93.3415,0.778,69.1348,11.3849,50.0
56,15.8405,0.677,81.4826,19.9147,10.4089,0.3864,46.2886,10.1204,18.0761,1.2635,30.0843,7.829,93.3927,0.6361,73.2116,9.3303,50.0
67,15.9035,0.8169,79.6586,19.5797,10.4565,0.4948,46.8837,11.9949,18.4871,1.5242,29.6097,5.7414,93.3364,0.8054,67.5931,12.1392,50.0
78,15.8574,0.5674,75.2899,15.1691,10.4145,0.3056,43.9965,9.4452,18.2249,1.3358,27.6145,4.0921,93.2706,0.7043,69.1634,10.521,50.0
89,15.9495,0.8622,81.0738,19.0647,10.4823,0.5686,46.8242,10.7093,18.1187,1.5692,29.5174,6.7521,93.4527,0.8775,68.9608,11.461,50.0
90,15.9457,0.7519,87.7575,27.6592,10.4518,0.4516,50.4975,14.4275,18.2214,1.3057,31.1071,9.7679,93.3347,0.8533,66.2067,11.5106,50.0
42,15.939,0.7784,78.4135,17.8476,10.4129,0.4619,45.6843,11.252,17.8044,1.228,28.0778,5.842,93.2515,0.8551,67.5596,10.8596,50.0
