,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
12,13.8253,0.4516,101.5762,6.2796,8.4444,0.1615,60.1955,5.8199,11.3088,0.2052,31.5682,2.6578,94.2821,0.2896,51.8709,5.1269,50.0
23,13.8184,0.3756,102.7307,6.807,8.4449,0.1228,61.3014,5.8203,11.2775,0.1386,32.1282,2.6954,94.2481,0.2705,50.8546,4.6108,50.0
34,13.6937,0.3757,99.4489,4.6957,8.408,0.141,58.3921,4.0991,11.2805,0.1725,30.7694,1.895,94.3654,0.2753,53.2802,3.6955,50.0
45,13.761,0.3239,99.4295,4.9763,8.4324,0.1128,58.7207,4.2801,11.3124,0.1711,30.9809,1.9307,94.3686,0.2366,52.8856,3.7625,50.0
56,13.7423,0.3687,101.6197,5.3812,8.4099,0.1314,60.2983,4.9204,11.2526,0.1682,31.6492,2.1907,94.3356,0.2457,51.5319,4.0915,50.0
67,13.7988,0.3128,101.2083,6.739,8.4421,0.1159,60.0785,5.7189,11.2791,0.1691,31.5522,2.5986,94.2544,0.2808,51.8815,4.6273,50.0
78,13.7785,0.4027,100.4651,6.8974,8.4514,0.1433,59.3408,6.123,11.3221,0.1466,31.2623,2.8105,94.3432,0.2769,52.625,4.866,50.0
89,13.8998,0.4035,102.3842,7.1011,8.4605,0.1527,60.5737,6.3274,11.2911,0.1863,31.7022,3.0627,94.3071,0.3273,51.7647,4.7997,50.0
90,13.8085,0.3891,101.7882,6.0727,8.4581,0.1407,60.6758,5.1758,11.3072,0.1789,31.8378,2.3333,94.2683,0.2515,51.1904,4.2427,50.0
42,13.8367,0.3843,99.7485,6.4378,8.4472,0.1345,58.6794,5.6636,11.3078,0.1767,30.8978,2.5763,94.2665,0.2317,53.183,4.8054,50.0
