Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,42,42,14.756327426801452,8.881428042476673,11.689754591653248,217.74919912697274,93.81074168797954,98.74962064150913,58.778957792486764,31.146325161805244,9751.487576841966,52.69607843137255
2,42,1042,14.47698071252483,8.881325870652013,12.293310966579776,209.5829705508159,94.11764705882352,100.17481098101116,58.882255538096885,31.102484429616652,10034.992755081314,52.369281045751634
3,42,2042,13.927863533908218,8.681807704681148,11.74479909294526,193.98538261917028,94.5609548167093,99.75080374392078,60.05523089308105,31.291529381962558,9950.222847558201,51.83823529411765
4,42,3042,15.013398180928355,9.167559883037123,12.346142664433179,225.40212493910283,94.47570332480818,91.38615879754002,49.89895185587973,26.600549214006534,8351.430019769201,62.459150326797385
5,42,4042,14.030543316319497,8.731499247895796,11.87357952787847,196.85614575111768,94.33930093776641,103.86129244942083,62.52149957859958,32.576787858658165,10787.16806926412,50.2859477124183
6,42,5042,14.603268345148175,8.878468350191552,12.126390675161135,213.25544636040672,94.18584825234441,95.6057223562011,54.370513940299006,28.917553908084688,9140.454147251012,56.61764705882353
7,42,6042,14.210421119273914,8.627801352956695,11.423776309567737,201.93606838710608,94.13469735720376,100.41910295634676,60.103891076475456,31.756121236718087,10083.99623855737,51.470588235294116
8,42,7042,15.309175402029986,9.083762195243454,11.845062334491523,234.37085149011997,93.99829497016198,107.23693322881765,65.53560684345388,34.54069197852974,11499.759848321895,46.037581699346404
9,42,8042,14.524037272769114,8.817303866285739,11.723285684304505,210.94765870078646,93.86189258312021,104.05389741300404,62.74359585088323,33.553202613494435,10827.21356683597,48.61111111111111
10,42,9042,14.872914319818543,8.763524982911703,11.498590269174246,221.20358036466348,93.98124467178177,98.25463972254506,56.98205387111843,30.282655972982393,9653.97422700713,54.20751633986928
11,42,10042,14.693570893307367,8.927041494573524,11.906650227807326,215.90102559664945,94.27109974424552,102.88381287031892,60.70451687351032,31.573057524461724,10585.0789507348,51.34803921568627
12,42,11042,15.146411678470702,8.951284995646919,11.945745124241698,229.4137867337137,93.91304347826087,105.13554565323977,62.64503566437038,32.65273796392552,11053.482959804463,49.4281045751634
13,42,12042,14.63635539951283,8.900573620318527,11.973234618897775,214.2228993808484,94.03239556692242,104.16468930509426,63.15290250549649,33.11657030064538,10850.282498026818,49.34640522875817
14,42,13042,14.327184748896958,8.74675251237065,11.647014225071713,205.2682228290256,94.32225063938618,98.4701602692362,57.95515850348671,31.34222581503273,9696.372463449065,52.04248366013072
15,42,14042,15.032154460130304,9.06696511029047,11.925089338178305,225.9656677132154,93.64023870417732,107.26407615284857,64.15993959750486,33.08184642476573,11505.5820329241,48.48856209150327
16,42,15042,14.242661549274501,8.778269099563033,11.736698389842221,202.85340800718234,94.03239556692242,94.56118945695513,55.43335662272502,31.337959707460485,8941.818551514163,52.246732026143796
17,42,16042,14.592251722785738,8.800394908684742,11.971439431471547,212.93381034114333,94.50980392156862,95.66519394703704,53.95390565112266,28.614924728642798,9151.829332924213,57.6797385620915
18,42,17042,14.94101321090771,9.080475535417618,12.319539076915808,223.23387576851871,94.15174765558397,94.57294094671805,53.713604672801786,28.5013983179474,8944.041159311419,57.59803921568627
19,42,18042,14.489704227988518,8.750454256507984,11.67119315620242,209.95152861458834,94.37340153452686,98.87571158080868,57.35590171969794,30.371020071232085,9776.406340611265,53.431372549019606
20,42,19042,15.0415849719434,9.075680477654315,12.232718799663884,226.24927846819355,94.2540494458653,90.31606727369734,49.66308618196994,26.64183182218291,8156.992007787025,61.60130718954249
21,42,20042,14.356047363306581,8.758890788767928,11.613049545777844,206.09609589750187,94.06649616368287,104.24197682383,62.39952691720722,32.67475821248997,10866.38973213991,49.10130718954248
22,42,21042,15.469128965771088,9.042295859414535,11.950586415450218,239.29395095965808,93.98124467178177,98.80688898279081,57.17186744605275,30.53624920621227,9762.801310457548,53.10457516339869
23,42,22042,15.170800918219276,9.161075438621541,12.181482335381231,230.15320050024283,93.93009377664109,89.12005462311774,50.879965725807324,28.244772773926698,7942.384136027489,58.415032679738566
24,42,23042,15.217406380501096,9.051477554530456,11.741638006438134,231.56945694931548,93.52088661551578,104.6467543449779,62.47853932959842,33.65420987091687,10950.94319493815,49.34640522875817
25,42,24042,14.878451906469028,8.885525069735216,11.546999262404618,221.36833113311184,94.42455242966751,99.67558060151782,58.462225250299205,30.91917016307973,9935.221368249677,52.900326797385624
26,42,25042,15.356464207800434,9.110878526898896,11.817071916712766,235.82099296545582,92.8388746803069,129.42654002288214,82.72298394120857,43.13148547682131,16751.22926229471,36.560457516339866
27,42,26042,15.080331786849811,9.000763515665758,11.948126811736113,227.41640680147285,93.70843989769821,122.75896241127755,77.55703330815878,41.293943758013526,15069.762852293454,40.114379084967325
28,42,27042,14.352171980489173,8.683239876623789,11.997999022312804,205.98484055753852,94.04944586530264,102.83485526567037,60.04824925261126,30.704513053098115,10575.007457511372,52.900326797385624
29,42,28042,14.97219547454041,9.086038814998814,11.906176076077772,224.16663732784835,94.21994884910487,99.29435912423128,57.35199169655512,30.4587740808169,9859.369753891811,54.861111111111114
30,42,29042,13.987392000244537,8.647291682748984,11.739179844305173,195.64713496850487,94.11764705882352,101.13112221415875,60.806715254040846,32.15429941120462,10227.503880295113,51.388888888888886
31,42,30042,14.432911767174438,8.81753210722259,12.253565695668732,208.3089420790424,94.23699914748508,92.49915657550017,53.523295086401475,28.79318444752361,8556.093967178895,57.02614379084967
32,42,31042,14.433048710037653,8.8749420841887,11.985424326608047,208.31289506631958,93.98124467178177,89.53156075532124,49.90729546209307,26.67765645412372,8015.900371283778,61.51960784313726
33,42,32042,14.437881719572426,8.786828838050408,11.948898436752179,208.4524285483636,94.42455242966751,87.92354143302497,49.597766135772595,26.902242860988114,7730.549138124858,61.72385620915033
34,42,33042,14.36336530506688,8.743663748426373,11.68805756844282,206.306262886799,94.27109974424552,106.73826134119362,63.805707470524034,33.56587064828121,11393.05643414095,48.12091503267974
