,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
12,14.6081,0.4798,101.1536,7.3048,8.8766,0.1966,59.7231,6.3043,11.8588,0.2513,31.6356,3.1253,94.0402,0.3383,51.8987,5.9122,50.0
23,14.7279,0.4911,97.8713,8.7172,8.9479,0.2121,57.1714,7.2642,12.068,0.3619,30.2678,3.5497,93.9887,0.4328,54.6977,6.8131,50.0
34,14.7504,0.5638,98.3438,8.8971,8.963,0.2204,57.075,7.7131,12.0307,0.2667,30.3109,3.9095,93.942,0.4973,54.6953,7.2221,50.0
45,14.6941,0.4668,98.2144,7.7235,8.9321,0.194,57.1352,6.4413,11.9958,0.2962,30.4159,3.22,94.0665,0.3253,54.2639,5.95,50.0
56,14.6885,0.4899,99.297,9.3592,8.9207,0.193,58.0198,7.9349,11.9933,0.2667,30.7967,3.9444,94.0423,0.4066,53.6642,6.9002,50.0
67,14.7804,0.6448,98.6447,8.1607,8.9642,0.2572,57.6099,6.9384,11.9898,0.3588,30.5947,3.4606,93.9475,0.3599,54.0319,6.2771,50.0
78,14.6277,0.5373,100.1027,7.5531,8.87,0.1948,58.8605,6.3184,11.8676,0.2729,31.3211,3.0518,94.0065,0.3069,52.4036,5.5728,50.0
89,14.7306,0.4744,98.1315,5.8653,8.9134,0.1669,57.0949,5.2517,11.9217,0.261,30.3823,2.6927,94.0365,0.285,54.0253,5.1788,50.0
90,14.7261,0.4635,98.6477,6.888,8.9239,0.1853,57.444,6.0593,11.9798,0.2879,30.5092,3.017,94.0757,0.2782,53.8619,5.7961,50.0
42,14.8268,0.5491,101.4402,8.7695,8.9421,0.2019,59.8632,7.3835,11.9294,0.255,31.6667,3.6583,93.9935,0.3716,52.0752,6.1523,50.0
