Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,42,42,21.362221151462414,14.680022882203609,31.592271013372713,456.34449252398815,92.97527706734869,134.67106671325402,85.29182523020496,48.257655601350045,18136.29620968571,44.36274509803921
2,42,1042,21.46179872894953,14.786073326253184,30.695125905136887,460.60880468193966,92.53196930946291,115.79876966742724,73.21025357053102,43.39199285217534,13409.355056489867,41.380718954248366
3,42,2042,21.3269517876713,14.619754725667422,31.411132861697116,454.8388725536561,91.5771526001705,149.47637116828906,96.38862421142429,53.66572629201433,22343.185537640118,42.76960784313725
4,42,3042,19.28134091377375,13.518158463535485,30.526232121643567,371.7701074331656,93.11167945439045,124.52603638898277,78.65625472694701,42.48202103096717,15506.733738750261,47.26307189542484
5,42,4042,20.516776233517017,14.36536462685484,28.847631949471335,420.9381070162088,92.85592497868713,141.44388021570862,90.45415946418595,51.42212709693893,20006.37125047573,40.64542483660131
6,42,5042,21.739920483755085,14.990382618414428,30.524825245611627,472.6241426399939,92.9070758738278,119.48273836859293,75.8097767353967,43.94934096652786,14276.124768057629,40.849673202614376
7,42,6042,21.97680632584118,15.155965033329437,31.69298393254463,482.980016283533,90.29838022165389,152.58438369057004,99.40464700246534,55.79564301652672,23281.994146231093,36.27450980392157
8,42,7042,20.538700627615864,14.18186092234385,33.408122014719716,421.8382234708283,93.1628303495311,124.34088221440308,78.08685995230942,41.90051808147296,15460.65498985606,44.076797385620914
9,42,8042,23.128140179356127,15.536608496139241,30.195211006240836,534.9108681559472,92.2080136402387,161.63036954348564,104.8722019314701,57.79758741507462,26124.37635876373,41.42156862745098
10,42,9042,21.058978634146477,14.749544322348983,30.7137422612704,443.48058111343784,91.78175618073317,140.02490249609065,90.23648509800267,51.264393427565246,19606.97331903969,38.0718954248366
11,42,10042,20.501527156403228,14.03720920221311,29.04945650887583,420.312615744739,92.82182438192669,133.10276611925914,85.82505494068033,49.09274767355701,17716.346348598203,38.48039215686275
12,42,11042,19.467419220936,13.844930472069473,28.998266396208322,378.98041112366843,92.97527706734869,85.99806630010453,49.86801360746793,36.38111925624837,7395.667407357174,56.16830065359477
13,42,12042,20.63920256599253,14.459989131957794,31.326892331119737,425.9766825600727,93.17988064791135,128.75306403011518,81.97389161783413,44.98780397015608,16577.35149714294,42.728758169934636
14,42,13042,22.00763104028709,14.853617392503617,30.00355588766909,484.33582400540786,92.32736572890026,160.50120451368284,103.79139483961113,56.96467426956986,25760.636650343047,39.052287581699346
15,42,14042,20.60724986064309,13.85656929575601,25.814253059691865,424.6587468189747,92.8388746803069,136.95943096947818,86.40617726824381,46.4669146930008,18757.885731483257,44.93464052287582
16,42,15042,19.769405570094275,13.620343812056355,29.14328860133143,390.82939659487454,93.43563512361467,129.66270929966396,82.19858710923738,45.557356983593536,16812.41818292916,47.50816993464052
17,42,16042,20.120502111407745,14.0083831164435,30.16705261475915,404.83460521516355,93.02642796248935,117.72018310292135,73.71953082748227,41.61571369903588,13858.041509785331,48.8562091503268
18,42,17042,21.509116193025317,14.933051345091727,30.57173595280282,462.6420794050639,92.49786871270247,95.67420087958135,59.193575590460014,46.35762894121274,9153.552713946485,49.4281045751634
19,42,18042,19.570692634768793,13.853100561679204,29.057531279009673,383.0120102045935,92.87297527706735,66.15746604402874,39.8897847017945,30.54864311430312,4376.810313366815,66.95261437908496
20,42,19042,20.464095714345937,14.429431031387695,31.422488781193053,418.7792134059118,93.09462915601023,143.28993040159398,92.80417480993171,54.987347069371175,20532.004154493643,39.501633986928105
21,42,20042,22.042176559018923,15.034158160625552,33.017981865889254,485.85754745896327,91.25319693094629,143.94087333336438,92.77027906287535,50.123600471295035,20718.97501597165,39.99183006535948
22,42,21042,20.846425966334383,14.384188073426529,33.30807752256592,434.57347556986036,93.07757885763,114.1889612401386,71.63346715635886,41.03391289896415,13039.118869101876,45.83333333333333
23,42,22042,22.56347783176946,15.394145719742374,30.179218269088388,509.110531864752,92.63427109974425,160.24023982825935,103.58281664668749,58.97185047378357,25676.934460218075,38.56209150326798
24,42,23042,19.936830221044836,14.099449708421647,32.00493661959552,397.47719926276665,92.9070758738278,139.6197054815766,89.04550112747489,51.611752801888734,19493.66215876219,43.54575163398693
25,42,24042,20.108464131957447,14.205537559685688,33.51371182042702,404.35032974621924,93.89599317988065,84.25868167390749,52.477470645072316,36.215058867612214,7099.525437424874,55.63725490196079
26,42,25042,21.21420081879118,14.010710896655251,26.464044203387278,450.0423163800004,92.41261722080137,120.49086516349381,75.28115009596806,41.16847367958621,14518.048587847245,43.95424836601307
