,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
12,20.7894,1.1345,130.6219,20.2336,14.3172,0.7177,82.9905,14.0292,29.9007,1.9674,47.8408,7.4294,92.697,0.8295,42.0915,5.4822,50.0
23,20.8504,0.839,127.0988,19.9045,14.355,0.5346,80.8006,13.9042,29.8906,1.889,46.6374,7.2934,92.6957,0.7319,42.268,5.2302,50.0
34,21.087,1.1095,129.9937,21.8758,14.5299,0.7039,82.7284,15.4866,30.4778,2.0121,47.7691,8.7349,92.6885,0.7731,42.2443,5.3162,50.0
45,20.8393,1.1675,128.2402,21.2622,14.3724,0.708,81.4844,15.0314,30.3275,2.1851,46.5734,7.8328,92.7144,0.9272,43.2835,5.816,50.0
56,20.8031,0.9642,135.0163,17.2109,14.3601,0.6142,86.2061,12.0938,30.4604,1.9762,49.0373,6.7617,92.7454,0.7227,41.2181,4.1822,50.0
67,20.8292,1.1653,130.8138,24.5476,14.3695,0.7076,83.1463,17.459,30.8495,2.685,47.7961,9.4929,92.6056,0.8489,42.4886,7.1999,50.0
78,20.7413,1.2222,132.8006,23.835,14.2752,0.7183,84.532,16.8743,29.8349,1.7001,48.4149,8.5053,92.7175,0.7692,42.2843,6.8931,50.0
89,20.6564,0.9728,127.2339,22.1436,14.2861,0.6467,80.9128,15.1897,30.2051,2.0503,47.1253,6.9937,92.7001,0.7958,43.3905,8.3587,50.0
90,20.7565,1.0956,132.5042,23.1575,14.3432,0.6987,84.3445,16.013,29.963,2.1059,48.0818,7.9911,92.6974,0.8291,43.0,6.7113,50.0
42,20.96,1.0143,129.9387,23.9561,14.4653,0.5845,82.8539,16.7436,30.8275,2.125,47.9154,7.7903,92.5934,0.9224,43.2239,6.2438,50.0
