,train_mean_rmse,train_std_rmse,test_mean_rmse,test_std_rmse,train_mean_mae,train_std_mae,test_mean_mae,test_std_mae,train_mean_mape,train_std_mape,test_mean_mape,test_std_mape,train_mean_pi_cov,train_std_pi_cov,test_mean_pi_cov,test_std_pi_cov,trials_completed
12,16.473,0.8675,103.0676,18.1099,10.0531,0.4476,62.2206,14.4124,13.606,0.5735,32.9408,7.3128,93.8331,0.9833,52.7279,9.2994,50.0
23,16.3864,0.6804,103.2885,16.3048,10.015,0.356,62.3043,12.9602,13.6021,0.562,32.8266,6.5359,94.0135,0.7353,51.9142,8.8013,50.0
34,16.5205,0.9579,103.0148,14.069,10.0635,0.468,62.1385,11.4741,13.588,0.5229,32.7179,5.7664,93.9847,0.7933,51.4518,8.3562,50.0
45,16.4187,0.8063,105.721,16.8221,9.9999,0.408,64.4341,13.6037,13.5383,0.4142,33.9181,6.9578,94.0215,0.8731,50.1176,9.0997,50.0
56,16.4637,0.7983,104.4801,16.6761,10.0248,0.4464,63.7248,13.1225,13.5309,0.5969,33.6303,6.63,93.8251,1.0156,50.5948,8.9758,50.0
67,16.6266,0.6967,106.0118,18.3616,10.1191,0.3854,64.6593,14.6207,13.5834,0.4915,34.1246,7.4941,93.7477,0.8973,50.2941,9.4097,50.0
78,16.5443,0.9832,101.8329,17.0236,10.0926,0.5581,61.1921,13.7945,13.6514,0.5155,32.3816,7.0796,93.8699,1.3209,52.8301,9.4417,50.0
89,16.3296,0.6528,100.7568,15.2198,9.9769,0.3437,60.4802,12.1068,13.5281,0.4889,31.9148,6.1126,94.0243,0.7155,52.9534,8.9293,50.0
90,16.317,0.7223,101.0342,15.2542,9.9639,0.3802,60.3532,12.351,13.5446,0.4699,31.8229,6.291,94.1527,0.745,53.1642,8.4613,50.0
42,16.4768,0.9062,103.0961,15.2286,10.0408,0.4404,62.1781,12.1887,13.5874,0.6033,32.767,6.0564,93.974,0.8034,51.906,8.5769,50.0
