Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,789,789,24.50148566720531,15.443728023515002,32.244450836881434,600.3227999002671,92.2117202268431,141.35229172931827,86.40514610151737,27.8824888813223,19980.4703771303,55.61594202898551
2,789,1789,26.341168713085224,16.038922857702293,25.933443196100026,693.8571691712199,90.85066162570888,428.4207636070874,249.78179937167232,151.8351274679261,183544.35068967988,77.71739130434783
3,789,2789,25.063794025334666,15.444865299717122,24.96165922915918,628.1937709444018,93.91304347826087,114.77074266215193,69.13345376696921,33.93732266207986,13172.323371221903,61.86594202898551
4,789,3789,24.748543729847416,16.278289648134113,40.17579684565323,612.4904167481698,93.00567107750473,187.35289012522662,117.30980111223447,51.81816178085506,35101.10543827524,37.04710144927536
5,789,4789,26.38357322586339,16.56163706213432,30.07623184911602,696.0929361644955,83.89413988657844,162.35902586018102,100.50802660357847,31.89811323040909,26360.453278266927,38.677536231884055
6,789,5789,25.562207255911026,17.011875365860543,42.141426956472245,653.4264397941504,89.79206049149339,135.24483988055937,84.30434399716913,57.01347513447516,18291.16671431814,49.90942028985507
7,789,6789,24.604779902647756,15.278520390313524,25.534516132100876,605.3951940577389,93.98865784499056,157.68379991360462,97.0054286339911,41.90992896544395,24864.18075519369,42.481884057971016
8,789,7789,23.565818175036174,14.680242427791265,30.037873985864277,555.3477862588653,92.24952741020795,138.51425191426713,84.12730072997344,35.769749802059195,19186.197983369057,58.06159420289855
9,789,8789,27.919264937327213,17.786060631796847,28.05488086528534,779.4853546406688,94.21550094517958,123.41676372943343,72.52184371845534,35.779549921725675,15231.697569446793,56.52173913043478
10,789,9789,25.093924764559983,15.50603814522468,23.320710374818212,629.7050600893969,93.87523629489603,165.72765934431658,101.93192261320036,34.77402930359257,27465.657071745838,36.775362318840585
