Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,789,789,21.017596748757974,11.34849564238383,9.22436421047212,441.73937309340175,93.34359368988072,332.86108498124014,206.52168775058723,49.362403978699724,110796.50189488838,33.96739130434783
2,789,1789,19.786698229965022,10.958622892114029,8.984028575492818,391.5134268437009,93.92073874567141,270.85574165582403,169.64090842190046,42.7307911685503,73362.83278792648,39.58333333333333
3,789,2789,20.291199129377755,11.062416371979161,9.19616255795537,411.7327621080606,93.26664101577529,359.96256097645204,220.29699739019364,51.15819725320113,129573.04530472597,37.5
4,789,3789,20.443791152190123,11.07412320065958,8.931336566677762,417.9485966743672,93.45902270103886,281.9883047545125,175.60421472231764,43.788825202818195,79517.40401832382,48.278985507246375
5,789,4789,19.849733519812723,10.795181792081014,8.96419382364335,394.01192080757676,93.99769141977684,236.2534397109359,147.73054060156275,38.787486780379915,55815.68777524883,37.77173913043478
6,789,5789,21.10515090839679,11.23696075426981,8.978715206066656,445.42739486620195,93.76683339746056,283.001698700866,175.36853469291557,44.01561412947624,80089.96146757573,43.65942028985507
7,789,6789,20.387775054474975,11.05856760869499,9.045438724406559,415.661371671872,93.80530973451327,269.65077440065664,167.4097294142888,41.761260742471116,72711.54013487382,41.21376811594203
8,789,7789,21.106130116921424,11.343707791057685,9.287829820798681,445.4687285124175,93.42054636398615,340.77296012007156,210.43422425230702,51.71480835525845,116126.21034899588,43.025362318840585
9,789,8789,20.176860131422785,10.91762695035387,9.006237833739437,407.10568476299824,93.30511735282802,295.6776122633238,183.3167055989911,44.259777561146656,87425.25039374045,31.34057971014493
10,789,9789,20.150551065927523,10.962184405529662,9.047222563317124,406.0447082605528,93.92073874567141,254.96815543890676,160.06713283850144,40.361005669212496,65008.760287918514,44.565217391304344
