Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,1000,1000,21.016347998317865,11.411971735456625,9.37114016605966,441.68688318639937,93.79962192816636,243.16761485204043,151.08876249726183,42.416727172131715,59130.488912830275,44.83695652173913
2,1000,2000,20.054336716030818,11.070987605425103,9.499503216366566,402.1764211199417,93.72400756143668,170.34854163211142,103.57490514036341,30.889798355770647,29018.6256361872,44.02173913043478
3,1000,3000,19.86882552993974,11.057540075098075,9.28906569992847,394.7702279391853,93.08128544423441,237.61525004866263,150.1392711551261,38.67481905159044,56461.00705568846,31.068840579710145
4,1000,4000,21.849728500282716,11.72871707247193,9.346917652556904,477.4106355360667,92.9678638941399,248.88125123840726,156.61693762930537,39.38411942106021,61941.87721799519,34.78260869565217
5,1000,5000,19.78892358617478,11.011175525203338,9.612808966530405,391.60149669946446,92.06049149338375,219.95691420229798,137.20312009672185,38.31406971617326,48381.04410539708,36.594202898550726
6,1000,6000,20.86364148733589,11.4356755161284,8.807278696711593,435.2915361120833,93.79962192816636,283.0001026874963,175.80171879030075,45.29487734057753,80089.05812113344,39.039855072463766
7,1000,7000,21.46293267327773,11.59370199055664,9.365372550762846,460.6574789376528,93.30812854442344,297.84695880031103,180.78950250609944,43.91029478626592,88712.81086659418,40.76086956521739
8,1000,8000,21.153325981535904,11.642291909617212,9.615735935651713,447.46320008112184,92.85444234404537,237.87691927965193,147.35942539511623,41.04743327353301,56585.42872597804,40.85144927536232
9,1000,9000,20.82848173761183,11.542097836604,10.106624970016288,433.82565149402956,92.17391304347827,232.7431509172049,145.33252682790874,38.97414175377442,54169.37429886882,40.57971014492754
10,1000,10000,22.625756649473814,12.123661570719012,9.79001771608087,511.9248639612085,91.30434782608695,264.0973644763321,165.1830788477136,46.08216352448647,69747.41792334458,33.60507246376812
