Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,123,123,43.886689770219945,31.065672942078177,79.21706042281588,1926.0415389875282,88.73345935727788,306.4235776377898,195.66390922846853,76.71944628180795,93895.40893234259,44.11231884057971
2,123,1123,44.8281146850146,31.99489556307317,95.3492765976008,2009.5598662128211,82.98676748582231,325.8187834326893,211.1385579426342,65.8436308693354,106157.87963755771,42.119565217391305
3,123,2123,38.43028941639357,27.584462265997594,67.39504427147513,1476.8871446277715,84.34782608695653,167.47270715015057,112.48730764016796,92.79219001098326,28047.107640200098,36.5036231884058
4,123,3123,40.346673240763415,27.496028608357047,60.61010810005878,1627.8540415969344,88.99810964083176,309.35977604021593,194.83302553559935,67.62585411237183,95703.47103165257,42.844202898550726
5,123,4123,39.5539721156778,27.155757127851253,54.44144901679324,1564.5167101278169,86.46502835538752,326.95532180021684,208.16557107236466,78.7716190084634,106899.78245348333,36.231884057971016
6,123,5123,36.888543865567904,25.189194205865732,70.11850211154477,1360.7646685219277,89.30056710775047,304.6443730457793,192.8317971962393,76.04517426693505,92808.19402845592,30.79710144927536
7,123,6123,36.2631098469141,26.514870598300355,127.85233645954632,1315.013135769358,88.54442344045368,354.17980323276083,225.31576614043342,80.7414342157298,125443.33301799717,41.84782608695652
8,123,7123,39.26900075911333,26.92218450922771,63.20112200113035,1542.0544206192433,90.85066162570888,307.538147982575,194.5653231279922,66.90296170402857,94579.71246455221,45.380434782608695
9,123,8123,36.74474385837468,26.083519936311287,85.3318603569807,1350.1762012175639,88.05293005671078,303.1705779863154,191.69725877299916,60.08379999817611,91912.39935655653,40.39855072463768
10,123,9123,41.67336641135991,30.547690219150695,101.29250315560509,1736.66946805546,78.86578449905483,367.420962025671,233.63619663351346,87.27131800466165,134998.16333586955,42.30072463768116
