Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,1000,1000,25.44329109506149,14.301211585426543,12.373005881981737,647.3610617480354,92.99730665640631,98.83436959304368,56.12866923631185,22.132758758840097,9768.232612854355,64.03985507246377
2,1000,2000,27.227261744263796,14.447413276483967,11.548134944973555,741.3237820906508,94.1900731050404,127.00964404076453,73.63434311763876,24.944718714771117,16131.44967936171,51.992753623188406
3,1000,3000,25.198638442254612,14.013596564221316,11.214137403103198,634.9713793434719,93.45902270103886,150.22727645573585,88.67157105420797,27.811255935722144,22568.234591308086,37.31884057971014
4,1000,4000,29.50451372218285,15.79983251850297,12.263898141554074,870.516329982476,93.95921508272413,210.21576588577435,128.5985032311475,37.42427260295362,44190.66822694269,30.07246376811594
5,1000,5000,27.59906177583139,15.326125785802343,12.80625850499852,761.7082109061573,93.574451712197,155.39052064275813,93.01930733047242,31.1865931995021,24146.213905627443,36.95652173913043
6,1000,6000,25.106865464038062,13.973345133954696,12.363779980212794,630.3546934293072,92.95883031935361,165.27867527745752,100.34800615768263,28.778004387621696,27317.04050147125,35.960144927536234
7,1000,7000,26.481446171674758,14.384819812214314,12.159586127384928,701.2669913433077,93.80530973451327,112.99451893712212,65.93779416135756,23.88085590545742,12767.761309831649,54.61956521739131
8,1000,8000,25.85438461325036,14.251728636312722,11.61333231336683,668.4492037298769,92.84340130819547,135.7012115370145,80.70358388462218,25.970682410255954,18414.81881261356,40.30797101449276
9,1000,9000,28.816026815814904,15.998444879776205,13.031472919820716,830.3634014497636,91.4197768372451,132.57733840644482,75.82375759272145,26.51963345668272,17576.750658936988,46.01449275362319
10,1000,10000,26.15462089145062,14.267260541535391,12.525065806860761,684.0641939755052,93.61292804924972,137.4195340248212,82.13817622581566,28.650382532127473,18884.12833159899,41.84782608695652
