Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,42,42,12.675675297051264,6.670116623411276,8.887748343472051,160.67274423627563,93.11273566756445,116.09114139582084,63.99367724401848,44.61262922244059,13477.153110584466,46.60326086956522
2,42,1042,12.607240019337015,6.637326896367651,8.840956427434401,158.94250090517275,92.13158907272027,120.3427215648322,66.37571607472144,43.349762630574254,14482.37063363073,50.0
3,42,2042,12.11557706076528,6.423607648642518,8.851147419290314,146.7872075153419,93.76683339746056,113.30632907595599,63.00328134343517,43.35343710787264,12838.32420866883,47.55434782608695
4,42,3042,12.325171438898222,6.5297632538341315,9.226319669060157,151.90985099823246,93.93997691419777,104.34258062928376,56.20284523069939,44.086840810745436,10887.374132378583,52.9891304347826
5,42,4042,12.413529506049372,6.5762749875807565,8.950434868271035,154.09571479755834,93.38207002693343,111.97682986706666,61.98154697768563,41.02412327876666,12538.810427077991,45.969202898550726
6,42,5042,12.33679430046998,6.596173431414343,8.979468004414485,152.1964936121086,93.61292804924972,118.89699280166562,65.73593753591965,43.02187503000789,14136.494897279325,42.346014492753625
7,42,6042,12.920065634955256,6.8238469431866235,9.230445731799627,166.92809601155173,91.66987302808772,98.68427628493663,53.76538195602347,42.307874425401664,9738.586385881705,48.414855072463766
8,42,7042,12.430758185910031,6.5712659077258495,8.97357636024037,154.52374907656923,93.42054636398615,110.1433154597275,61.31404587001202,42.00955491832224,12131.549940461047,46.46739130434783
9,42,8042,12.859000930296375,6.752671548107613,9.385835191027178,165.35390492536303,93.34359368988072,103.62914076364936,57.20629530396959,41.629717878312036,10738.998815412253,45.78804347826087
10,42,9042,12.241502107493046,6.441307217907124,8.951839140992721,149.85437384775668,93.28587918430166,116.32118045094565,64.91077823461603,43.74282912370913,13530.617021501459,51.358695652173914
