Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,42,42,13.161381191512138,6.955637023681146,9.505368408044136,173.2219548682895,92.703213610586,99.41932681672374,53.865835876019055,38.05798881147176,9884.202544690523,45.244565217391305
2,42,1042,13.8541863451264,7.131975095117786,9.684149573450721,191.9384792854868,93.44045368620037,115.1459019749675,62.9076534040646,42.7946062058343,13258.578741628826,49.184782608695656
3,42,2042,12.740202963511116,6.736346760242928,9.413231221226788,162.31277155145744,93.66729678638941,81.38810505271425,44.02276588618455,41.275560021220606,6624.023644071651,59.87318840579711
4,42,3042,13.143820064013918,6.875319253548653,9.751197723602312,172.76000587517484,93.34593572778827,109.7105786045886,59.236206752686385,42.36352446473619,12036.411057753616,43.2518115942029
5,42,4042,13.336994925442838,7.013502479647252,9.819539990717198,177.87543364128803,93.13799621928166,113.99759900820818,63.87709808782404,42.61518140123531,12995.452579636227,42.70833333333333
6,42,5042,13.407326275324872,7.091639238806598,10.01336393809445,179.7563978530167,93.02457466918715,83.84105975597456,45.24090507104641,41.32932579157777,7029.323301004895,55.70652173913043
7,42,6042,12.809507875525188,6.793621579060089,9.296829597895666,164.08349201314184,91.09640831758034,132.80258751009512,74.09661883351984,44.997150977023594,17636.52724937647,40.1268115942029
8,42,7042,14.545110442014442,7.296764091254439,9.856688389893598,211.56023777039758,91.03969754253308,133.94498645803307,71.28618341121454,52.20516224256478,17941.259397242662,48.188405797101446
9,42,8042,13.422231818668779,7.060994909785723,9.671144980587599,180.1563069940846,92.9678638941399,120.21882257802689,66.6522437341214,44.53550574344683,14452.565302047107,44.565217391304344
10,42,9042,13.835303098759866,7.147262620669113,9.36748135530157,191.41561183455434,93.23251417769376,125.66377796119323,69.13171084631304,45.09014367572618,15791.385091480073,45.018115942028984
