Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,456,456,23.007714985645173,15.57825628831986,31.99422337009228,529.3549488606815,88.54442344045368,177.40790583135276,101.00432201686891,93.30597110399694,31473.565051466132,46.42210144927536
2,456,1456,21.6449324487872,14.856392400612409,30.831065628386227,468.5031007125609,91.09640831758034,199.95237751870084,115.94857157795707,94.99796872128037,39980.95327538106,41.802536231884055
3,456,2456,22.90466239295623,15.798308784955228,38.167175135983314,524.6235593353034,91.09640831758034,193.76939865940912,111.34396144468218,88.21679891619094,37546.57985682902,42.844202898550726
4,456,3456,20.065417422667974,14.170174206065926,30.473318554278013,402.6209763459074,90.64272211720227,173.37003701777323,101.67627324943382,82.1510403921301,30057.16973554406,35.688405797101446
5,456,4456,21.727091084743982,15.17589815299421,30.422835509840862,472.0664870047614,90.81285444234405,125.47928130051912,71.08597631904514,79.53006607447618,15745.050035694807,42.844202898550726
6,456,5456,19.702058956255716,13.615849523339302,32.22132612160441,388.171127115776,91.77693761814744,123.11575245296507,68.66410897820862,46.96268466364747,15157.488502059774,48.641304347826086
7,456,6456,25.974199030441234,18.01175980721053,35.054801982656706,674.6590152729743,84.74480151228734,196.0188030589364,113.47048985782365,88.20596029643556,38423.371152658096,45.561594202898554
8,456,7456,20.518245089203116,14.436330065990523,31.435683817162097,420.99838154060774,92.17391304347827,131.22598241376502,72.88110489888572,63.866689392057786,17220.258460457764,53.71376811594203
9,456,8456,20.17916751559246,14.248262990253037,34.64350806719737,407.19880162234205,93.25141776937618,134.3685666983958,77.35577471266762,65.87950215330746,18054.91171658124,45.42572463768116
10,456,9456,19.790164840798766,13.46181846131947,29.618479328224197,391.6506244259877,92.26843100189036,170.60315804209543,96.80074525008385,62.87807032041424,29105.437533936187,46.19565217391305
