Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,1000,1000,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
2,1000,2000,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
3,1000,3000,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
4,1000,4000,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
5,1000,5000,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
6,1000,6000,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
7,1000,7000,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
8,1000,8000,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
9,1000,9000,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
10,1000,10000,167.97541631515432,101.36323129262789,100.0,28215.740486249415,39.76449275362319,314.7748747581157,190.8281083626332,100.0,99083.22177898743,30.525362318840582
