Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,1000,1000,137.55944796817573,98.4134176503057,4.16889905463819,18922.601725309243,93.47826086956522,1198.0936976915682,970.2400792439779,19.55377904587238,1435428.508448255,38.54166666666667
2,1000,2000,175.43604170004312,139.46811948029892,6.320731013711593,30777.804727379265,95.21739130434783,874.3365336774228,658.2287267049154,12.98772262286404,764464.3741230512,71.875
3,1000,3000,133.13237141191442,95.97860001273777,4.101637285682236,17724.22831775993,93.47826086956522,959.8991878010221,736.3878300984701,14.432195797126038,921406.4507410619,57.291666666666664
4,1000,4000,209.02834093613816,173.62241953974186,8.673250310491799,43692.847314514416,94.34782608695652,689.876742079316,533.2292302449545,12.866071744591409,475929.9192619712,94.79166666666666
5,1000,5000,154.88895262639386,117.92268756368885,5.176709499976548,23990.587645701286,95.65217391304348,740.3275969892911,567.1736729939779,12.357419715328707,548084.9508639382,87.5
6,1000,6000,145.85017669452813,112.42489438264266,4.926765061354718,21272.27404182508,94.34782608695652,738.6347726595307,563.418576558431,11.60865030518567,545581.3273817966,83.33333333333334
7,1000,7000,155.7687782725386,114.46949781334918,4.976579169687515,24263.912284519298,94.34782608695652,1126.197694691399,883.3337961832682,17.200485554769642,1268321.2475282215,48.95833333333333
8,1000,8000,168.1218848425918,132.45384415336278,6.106875440367503,28264.968163025704,94.78260869565217,1052.4427852954743,773.2855962117513,14.197741142188805,1107635.8163204957,59.375
9,1000,9000,160.2423165760298,124.93901685631793,5.675173523321906,25677.600021652554,94.78260869565217,905.218904705758,680.613650004069,13.36921452527732,819421.2654366922,67.70833333333334
10,1000,10000,147.78334799044444,107.93616412618886,4.601452212945728,21839.9179432648,93.47826086956522,701.0127222501682,533.8467025756836,11.417081167520786,491418.8367565914,86.45833333333334
