Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,42,42,136.32558274917767,97.32462264351223,3.990941611821281,18584.66451190289,92.6086956521739,1669.685068412607,1389.2943674723308,28.577401531012285,2787848.227680012,19.791666666666664
2,42,1042,128.23235309300176,98.33619862432066,4.196781482879842,16443.536379768277,94.78260869565217,1327.6310689451564,1105.9671071370442,22.9391260088335,1762604.2552284587,25.0
3,42,2042,126.75962643693798,92.29016697095788,3.844158261475547,16068.002894432066,93.91304347826087,1620.249817154383,1357.0997988382976,28.12734674964197,2625209.4699888113,18.75
4,42,3042,127.79147534206226,96.4689548658288,4.033941637682531,16330.661170100906,94.34782608695652,1170.5839804316995,970.2972310384115,20.130568453209527,1370266.8552433215,28.125
5,42,4042,138.11956797751773,97.80413871433424,3.9781919705229276,19077.01505829614,93.47826086956522,1600.0414349168339,1338.9116490681965,27.737633561442426,2560132.5934507204,18.75
6,42,5042,127.47030398494371,92.34567924167798,3.819565634055145,16248.678398013957,94.34782608695652,1562.4996447889987,1311.974459330241,27.34865056458074,2441405.139965747,19.791666666666664
7,42,6042,129.41484375328912,97.33330025050951,4.093826464687612,16748.201783688237,93.47826086956522,1068.1633525424845,881.2643508911133,18.33589318867732,1140972.9477148,34.375
8,42,7042,129.93378209419865,94.26092051630435,3.9134365797834447,16882.787729302698,94.34782608695652,1758.662836495735,1489.6959012349446,31.272566649636342,3092894.9724712246,12.5
9,42,8042,129.52600929862544,95.09172150985054,3.9762738829352955,16776.987084827604,93.91304347826087,1554.3053910142232,1301.134329477946,26.963553385246524,2415865.2485358776,19.791666666666664
10,42,9042,129.59305621950023,98.15046758237092,4.154111639722982,16794.360220310544,93.47826086956522,1235.8992804158615,1020.0842336018881,20.96154054003759,1527447.0313324444,28.125
