Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,42,42,250.57701346577915,188.6438428795856,7.475560182408526,62788.83967742926,83.04347826086956,2654.6566378703988,2013.041352033615,48.14402130624065,7047201.86498937,70.83333333333334
2,42,1042,259.3285539104614,201.31341711956523,7.94903265830654,67251.29887329107,81.30434782608695,1747.8105842168532,1567.7694562276204,35.39621699387425,3054841.838300457,8.333333333333332
3,42,2042,192.16394948284446,142.3390879755435,6.240292306996309,36926.9834808452,91.30434782608695,2347.5531646420013,2042.4377581278484,44.914182733439596,5511005.860820675,19.791666666666664
4,42,3042,218.09146623960953,170.34462731402854,8.027875217765718,47563.887646542746,84.78260869565217,1671.8714953523283,1313.255610148112,37.551538213413124,2795154.2969716303,81.25
5,42,4042,220.4203675026916,170.51562871518342,7.049352175816703,48585.138410021624,83.04347826086956,1819.920523675255,1463.2740567525227,30.684185038630734,3312110.7124944148,52.083333333333336
6,42,5042,330.98781400326095,278.75628768257474,12.457541141359782,109552.93301865725,54.78260869565217,4000.578716197238,3586.921367486318,81.05180417466741,16004630.064490343,6.25
7,42,6042,366.9221977525735,331.8594275433084,15.451321519534325,134631.89920357862,45.21739130434783,2201.83449971376,1852.1991373697917,39.12881077075436,4848075.164129744,36.45833333333333
8,42,7042,193.57812072957694,152.32681990913724,6.83886812194071,37472.48882519467,87.39130434782608,3039.3403256338224,2401.699633916219,48.3165458051134,9237589.61502391,46.875
9,42,8042,333.0362737415991,254.54339281165082,9.949836089386768,110913.1596276893,78.69565217391305,3383.0260805062226,2796.407842318217,58.94328680704118,11444865.461385295,48.95833333333333
10,42,9042,193.30995433896277,155.97176460597825,7.450823207939057,37368.73844653187,80.8695652173913,2316.5380039123097,1997.0951385498047,43.50184166503699,5366348.323570029,21.875
