Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,456,456,131.74491684011699,97.22255200411367,4.109080648516432,17356.72311320934,94.69026548672566,1324.6872781702252,1112.2641906738281,23.300085497722456,1754796.3849460399,23.958333333333336
2,456,1456,137.1050167768386,102.01039434112279,4.220437010302405,18797.785625377193,94.69026548672566,1550.148142403154,1304.740821838379,27.19793185096914,2402959.2633959493,17.708333333333336
3,456,2456,134.2032041939806,94.7884915782287,3.9227232756133343,18010.500015931255,92.47787610619469,1251.9681181687783,1056.6951484680176,22.35616734818963,1567424.1689110722,25.0
4,456,3456,158.49177128094124,122.13567467073423,5.156401009147966,25119.641563770187,92.03539823008849,637.1703411952809,448.0734608968099,9.908413445673474,405986.0436989106,92.70833333333334
5,456,4456,135.36710816259594,97.83847613039269,3.9888719964030983,18324.253972303948,93.80530973451327,1392.8468159955848,1169.7973899841309,24.441504641659265,1940022.2528290388,22.916666666666664
6,456,5456,161.86838712227168,112.76437675003457,4.476472238583568,26201.374749565613,90.2654867256637,1819.6773056097377,1523.8459904988606,31.52447479221258,3311225.496551115,16.666666666666664
7,456,6456,136.83067133889534,100.52220113298534,4.277683772811846,18722.632619052794,93.36283185840708,1045.7991937972672,879.3646710713705,18.860157361292725,1093695.9537470143,30.208333333333332
8,456,7456,133.70161378778386,98.96201452744745,4.190236094962599,17876.121529457712,95.57522123893806,1383.4176329626296,1178.1078605651855,25.129358849936732,1913844.347191925,19.791666666666664
9,456,8456,137.6063614484502,101.19572084139934,4.192568107518497,18935.510711081522,93.80530973451327,1329.3034661564639,1113.2747955322266,23.239375756989226,1767047.7051355888,23.958333333333336
10,456,9456,130.77293135849266,97.43502780610481,4.039777581622561,17101.55957609303,94.24778761061947,1453.0709775775254,1218.5162925720215,25.36735852487138,2111415.265878105,21.875
