Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,42,42,2498.7231447614736,2333.1125,100.0,6243617.354166667,0.0,4752.45753750976,4388.6875,100.0,22585852.645833332,0.0
2,42,1042,2498.7231447614736,2333.1125,100.0,6243617.354166667,0.0,4752.45753750976,4388.6875,100.0,22585852.645833332,0.0
3,42,2042,2498.7231447614736,2333.1125,100.0,6243617.354166667,0.0,4752.45753750976,4388.6875,100.0,22585852.645833332,0.0
4,42,3042,2498.7231447614736,2333.1125,100.0,6243617.354166667,0.0,4752.45753750976,4388.6875,100.0,22585852.645833332,0.0
5,42,4042,2498.7231447614736,2333.1125,100.0,6243617.354166667,0.0,4752.45753750976,4388.6875,100.0,22585852.645833332,0.0
6,42,5042,2498.7231447614736,2333.1125,100.0,6243617.354166667,0.0,4752.45753750976,4388.6875,100.0,22585852.645833332,0.0
7,42,6042,2498.7231447614736,2333.1125,100.0,6243617.354166667,0.0,4752.45753750976,4388.6875,100.0,22585852.645833332,0.0
8,42,7042,2498.7231447614736,2333.1125,100.0,6243617.354166667,0.0,4752.45753750976,4388.6875,100.0,22585852.645833332,0.0
9,42,8042,2498.7231447614736,2333.1125,100.0,6243617.354166667,0.0,4752.45753750976,4388.6875,100.0,22585852.645833332,0.0
10,42,9042,2498.7231447614736,2333.1125,100.0,6243617.354166667,0.0,4752.45753750976,4388.6875,100.0,22585852.645833332,0.0
