Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,123,123,16.883157056176067,10.546617817068352,16.488366140097835,285.04099218350774,93.60613810741688,73.83141908019141,42.471848027413806,24.513628063590005,5451.078443394852,68.99509803921569
2,123,1123,15.775091440865873,10.207767198540678,16.89281465393938,248.85350996767974,94.16879795396419,85.54387546953144,48.83274765559401,29.734161099875905,7317.754630346703,62.173202614379086
3,123,2123,15.885462080850402,10.320553767180035,17.50889336296956,252.34790552213602,92.89002557544757,71.18244443384548,40.470238178397054,23.730864317058543,5066.940395577499,68.05555555555556
4,123,3123,15.946869828852913,10.231480838204753,16.919549346893266,254.30265733837933,93.91304347826087,62.42855482727449,36.532706268927114,23.6600019198417,3897.324457822017,75.16339869281046
5,123,4123,16.133993044315254,10.658987907559066,19.20111932684412,260.305731554013,92.82182438192669,48.589197571672166,30.877769391502742,26.30657853754427,2360.9101206589926,79.8202614379085
6,123,5123,15.426722014065792,10.083666744887541,17.120739957211565,237.98375209926215,91.69650468883206,99.70023198313746,58.06788837283786,31.476925008090017,9940.136257491424,54.248366013071895
7,123,6123,15.413199884312649,10.295119405721005,17.738991076302508,237.56673067377542,93.69138959931799,91.41787755177285,51.955410606980585,28.972343147391676,8357.228336070933,59.27287581699346
8,123,7123,14.548751630940659,9.841326707427003,18.516830408923415,211.66617401879847,93.87894288150042,83.15444916003266,46.54452250005114,28.164827161465983,6914.662415108456,71.52777777777779
9,123,8123,17.3475112812396,10.917353767621814,17.524045238962344,300.9361476527352,93.00937766410912,128.91151077907975,80.48810238406581,44.57033634074101,16618.177611344792,43.709150326797385
10,123,9123,15.947842295150119,10.70258919867954,19.592177327212212,254.33367387097903,93.3162830349531,96.38051027398181,51.64433981297712,32.14396784371433,9289.202760673114,82.72058823529412
