Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,456,456,14.818018531766471,8.861479823279431,11.524459191050951,219.5736732077746,93.41858482523445,125.24331091577052,78.96131894992328,40.968650172030955,15685.886929144364,39.09313725490196
2,456,1456,14.615714146486413,9.022641400623874,12.123340490831955,213.61910001180306,94.30520034100597,90.79865430559465,51.683188977454485,28.917662334508105,8244.395623706883,57.06699346405229
3,456,2456,14.172220743430314,8.685288365629026,11.694417318818376,200.85184080051647,94.33930093776641,97.32455327743855,55.31629817535156,29.312074145617327,9472.068670652976,55.71895424836602
4,456,3456,14.086183211597742,8.631962178736572,11.775760776087399,198.42055747069807,93.91304347826087,100.14341269179923,59.11870157926431,31.013403776979903,10028.703105560015,52.165032679738566
5,456,4456,14.32344272880965,8.854070158090236,11.9574210637474,205.16101160549007,94.44160272804774,93.81027673965649,52.98851222241367,28.161674877565616,8800.368021970935,57.92483660130719
6,456,5456,14.508256049119447,8.959159779505269,11.67576502647363,210.48949358681105,93.81074168797954,113.44055040188239,71.35947069454298,38.05993951114639,12868.75847548202,41.50326797385621
7,456,6456,14.678264413207884,8.901196850353541,11.787911730744941,215.45144618404498,94.04944586530264,93.54073447428307,53.264935470614304,28.486402284916622,8749.869005988328,57.393790849673195
8,456,7456,16.001174973335655,9.258364101486206,11.79627736494997,256.03760052730325,93.21398124467179,111.20311917786319,68.20592235025498,36.88076470896484,12366.133714886042,42.6062091503268
9,456,8456,14.164282411594732,8.76697507213481,11.966916111019556,200.6268962354119,93.96419437340154,85.81129820975508,47.46364006689691,25.732804981101708,7363.578900443515,66.83006535947712
10,456,9456,14.153230971441406,8.770822521122682,11.944594758405566,200.31394693096826,94.11764705882352,96.70173465624161,55.018754559015136,29.52580424197866,9351.22548552616,56.04575163398693
