Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,123,123,22.654319093829827,15.302211313420763,31.766825937908738,513.2181736050626,92.49786871270247,134.38741002213257,85.58822743089064,49.183850656855014,18059.975972456778,38.80718954248366
2,123,1123,22.307339324484097,15.406568921435332,33.081434536295276,497.6173877376747,91.69650468883206,156.0270506866949,101.60341412107458,59.689587245859485,24344.440545988462,35.498366013071895
3,123,2123,21.07468183042209,14.353221045270361,27.395581681688512,444.14221425352304,92.31031543052003,135.6970765980247,87.96660556362471,49.78799942663103,18413.696597250182,37.99019607843137
4,123,3123,21.03348232921477,14.719215733000778,31.31238442652678,442.40737889339005,93.40153452685422,144.06785751137335,92.52584134415604,53.265145918309486,20755.547567917376,42.03431372549019
5,123,4123,21.253353721198376,14.900595854210039,31.37817520736135,451.7050443983768,92.53196930946291,125.39622400721427,79.28931146394005,45.30092263315279,15724.21299526746,44.48529411764706
6,123,5123,20.386160145181424,14.138411520924835,30.390022356441914,415.59552546498355,93.36743393009378,108.42464943175885,67.63688411644794,38.17880145967801,11755.904604399804,44.28104575163398
7,123,6123,19.501855917348724,13.707955999499363,28.14867910205624,380.32238422102944,93.67433930093777,83.62704060586222,51.31249333434253,36.237227329397896,6993.481920494528,53.431372549019606
8,123,7123,20.58673797384201,14.129616048442381,30.72428701591243,423.8137804036285,93.24808184143222,137.7337713415028,88.21209113561186,50.06168982349004,18970.59176795338,41.01307189542484
9,123,8123,21.342307371621356,14.734139582998388,32.565395380211115,455.4940839447632,92.34441602728047,134.81170277473,87.31286037688737,49.67911820369061,18174.195205022144,38.3578431372549
10,123,9123,21.367011825772366,14.601127901246109,28.294769210713223,456.5491943626961,91.15089514066497,145.21908727350552,94.83666716460422,54.251318407126426,21088.583308550016,32.51633986928105
