Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,1000,1000,16.245089320568955,9.892431328308875,13.231261191741538,263.9029270332635,94.10029498525073,106.4227307153439,65.8849208979565,34.49445504233478,11325.797612910603,44.97549019607843
2,1000,2000,16.016485381691613,9.74083270899442,12.967640104173631,256.52780398194113,94.23911157383307,102.25594668152885,62.35485410768222,32.82080082927343,10456.278631735673,50.122549019607845
3,1000,3000,16.71771585310312,10.100002140785088,13.362556810958607,279.4820233450954,93.89207010237723,120.70853915537575,77.02216484915458,40.54898213096716,14570.55142502488,41.544117647058826
4,1000,4000,17.498145552384695,10.571322141014978,13.778932416168713,306.18509777244026,92.41714384868992,136.09534464056836,89.19216881017151,47.29833082816634,18521.942832835077,36.96895424836602
5,1000,5000,16.094645637078273,9.795195831532503,12.897750340076097,259.0376181831227,93.66649314593094,108.53402661682058,67.52344990529785,35.230361743184616,11779.63493366072,44.076797385620914
6,1000,6000,17.4531273091666,10.37236813345022,13.411878995920837,304.6116528699769,93.49297241020302,128.0503651602948,82.12213538975044,42.92271869605925,16396.896017684838,40.27777777777778
7,1000,7000,16.05387969579605,9.879293301270806,13.411744720695772,257.72705328709264,94.13499913239633,100.4818844347647,60.056236022697824,31.264237743231693,10096.609099561409,51.633986928104584
8,1000,8000,15.78104042047353,9.564453759675745,12.917818406485832,249.04123675261937,94.44733645670658,107.134484544017,65.54690614569941,34.03090801718283,11477.797778512218,48.61111111111111
9,1000,9000,16.65423408140025,10.15148414567105,13.082752506496595,277.36351283807363,92.76418532014576,122.4397238495176,78.33686623199638,41.437062531416586,14991.485976346132,40.27777777777778
10,1000,10000,16.143966621556185,10.010305578851877,13.790297743745217,260.62765827792026,94.29116779455144,90.57536866032754,50.38366636985787,26.71878220332704,8203.897407954244,61.68300653594771
