Row Labels,Month,Month_Code,Year_Code,Sum of Deaths
2010-01-01,Jan,1,2010,3472
2010-02-01,Feb,2,2010,3261
2010-03-01,Mar,3,2010,3591
2010-04-01,Apr,4,2010,3340
2010-05-01,May,5,2010,3450
2010-06-01,Jun,6,2010,3190
2010-07-01,Jul,7,2010,3338
2010-08-01,Aug,8,2010,3289
2010-09-01,Sep,9,2010,3147
2010-10-01,Oct,10,2010,3288
2010-11-01,Nov,11,2010,3277
2010-12-01,Dec,12,2010,3455
2011-01-01,Jan,1,2011,3707
2011-02-01,Feb,2,2011,3655
2011-03-01,Mar,3,2011,3776
2011-04-01,Apr,4,2011,3639
2011-05-01,May,5,2011,3705
2011-06-01,Jun,6,2011,3350
2011-07-01,Jul,7,2011,3694
2011-08-01,Aug,8,2011,3558
2011-09-01,Sep,9,2011,3446
2011-10-01,Oct,10,2011,3575
2011-11-01,Nov,11,2011,3572
2011-12-01,Dec,12,2011,3644
2012-01-01,Jan,1,2012,3769
2012-02-01,Feb,2,2012,3623
2012-03-01,Mar,3,2012,3723
2012-04-01,Apr,4,2012,3461
2012-05-01,May,5,2012,3570
2012-06-01,Jun,6,2012,3685
2012-07-01,Jul,7,2012,3667
2012-08-01,Aug,8,2012,3705
2012-09-01,Sep,9,2012,3513
2012-10-01,Oct,10,2012,3559
2012-11-01,Nov,11,2012,3455
2012-12-01,Dec,12,2012,3669
2013-01-01,Jan,1,2013,4022
2013-02-01,Feb,2,2013,3712
2013-03-01,Mar,3,2013,4083
2013-04-01,Apr,4,2013,3820
2013-05-01,May,5,2013,3820
2013-06-01,Jun,6,2013,3851
2013-07-01,Jul,7,2013,3815
2013-08-01,Aug,8,2013,3840
2013-09-01,Sep,9,2013,3611
2013-10-01,Oct,10,2013,3655
2013-11-01,Nov,11,2013,3778
2013-12-01,Dec,12,2013,3970
2014-01-01,Jan,1,2014,4270
2014-02-01,Feb,2,2014,4039
2014-03-01,Mar,3,2014,4291
2014-04-01,Apr,4,2014,3899
2014-05-01,May,5,2014,4083
2014-06-01,Jun,6,2014,3924
2014-07-01,Jul,7,2014,4064
2014-08-01,Aug,8,2014,4129
2014-09-01,Sep,9,2014,3867
2014-10-01,Oct,10,2014,4176
2014-11-01,Nov,11,2014,4111
2014-12-01,Dec,12,2014,4195
2015-01-01,Jan,1,2015,4578
2015-02-01,Feb,2,2015,4297
2015-03-01,Mar,3,2015,4812
2015-04-01,Apr,4,2015,4434
2015-05-01,May,5,2015,4609
2015-06-01,Jun,6,2015,4340
2015-07-01,Jul,7,2015,4652
2015-08-01,Aug,8,2015,4618
