Month,Age,Deaths
2010-01-01,1-4 years,0.0
2010-01-01,10-14 years,0.0
2010-01-01,100+ years,0.0
2010-01-01,15-19 years,85.0
2010-01-01,20-24 years,225.0
2010-01-01,25-29 years,349.0
2010-01-01,30-34 years,340.0
2010-01-01,35-39 years,391.0
2010-01-01,40-44 years,434.0
2010-01-01,45-49 years,561.0
2010-01-01,5-9 years,0.0
2010-01-01,50-54 years,492.0
2010-01-01,55-59 years,308.0
2010-01-01,60-64 years ,180.0
2010-01-01,65-69 years,57.0
2010-01-01,70-74 years,36.0
2010-01-01,75-79 years,24.0
2010-01-01,80-84 years,10.0
2010-01-01,85-89 years,15.0
2010-01-01,90-94 years,10.0
2010-01-01,95-99 years,0.0
2010-01-01,< 1 year,0.0
2010-01-01,Not Stated,0.0
2010-02-01,1-4 years,0.0
2010-02-01,10-14 years,0.0
2010-02-01,100+ years,0.0
2010-02-01,15-19 years,68.0
2010-02-01,20-24 years,220.0
2010-02-01,25-29 years,296.0
2010-02-01,30-34 years,325.0
2010-02-01,35-39 years,375.0
2010-02-01,40-44 years,398.0
2010-02-01,45-49 years,504.0
2010-02-01,5-9 years,0.0
2010-02-01,50-54 years,474.0
2010-02-01,55-59 years,311.0
2010-02-01,60-64 years ,166.0
2010-02-01,65-69 years,55.0
2010-02-01,70-74 years,33.0
2010-02-01,75-79 years,20.0
2010-02-01,80-84 years,17.0
2010-02-01,85-89 years,15.5
2010-02-01,90-94 years,10.0
2010-02-01,95-99 years,0.0
2010-02-01,< 1 year,0.0
2010-02-01,Not Stated,0.0
2010-03-01,1-4 years,0.0
2010-03-01,10-14 years,0.0
2010-03-01,100+ years,0.0
2010-03-01,15-19 years,76.0
2010-03-01,20-24 years,248.0
2010-03-01,25-29 years,333.0
2010-03-01,30-34 years,341.0
2010-03-01,35-39 years,370.0
2010-03-01,40-44 years,443.0
2010-03-01,45-49 years,591.0
2010-03-01,5-9 years,0.0
2010-03-01,50-54 years,508.0
2010-03-01,55-59 years,346.0
2010-03-01,60-64 years ,175.0
2010-03-01,65-69 years,64.0
2010-03-01,70-74 years,30.0
2010-03-01,75-79 years,27.0
2010-03-01,80-84 years,20.0
2010-03-01,85-89 years,16.0
2010-03-01,90-94 years,10.0
2010-03-01,95-99 years,0.0
2010-03-01,< 1 year,0.0
2010-03-01,Not Stated,0.0
2010-04-01,1-4 years,0.0
2010-04-01,10-14 years,0.0
2010-04-01,100+ years,0.0
2010-04-01,15-19 years,69.0
2010-04-01,20-24 years,219.0
2010-04-01,25-29 years,332.0
2010-04-01,30-34 years,308.0
2010-04-01,35-39 years,331.0
2010-04-01,40-44 years,391.0
2010-04-01,45-49 years,549.0
2010-04-01,5-9 years,0.0
2010-04-01,50-54 years,513.0
2010-04-01,55-59 years,331.0
2010-04-01,60-64 years ,160.0
2010-04-01,65-69 years,59.0
2010-04-01,70-74 years,28.0
2010-04-01,75-79 years,22.0
2010-04-01,80-84 years,13.0
2010-04-01,85-89 years,13.0
2010-04-01,90-94 years,10.0
2010-04-01,95-99 years,0.0
2010-04-01,< 1 year,0.0
2010-04-01,Not Stated,0.0
2010-05-01,1-4 years,0.0
2010-05-01,10-14 years,0.0
2010-05-01,100+ years,0.0
2010-05-01,15-19 years,77.0
2010-05-01,20-24 years,250.0
2010-05-01,25-29 years,347.0
2010-05-01,30-34 years,343.0
2010-05-01,35-39 years,349.0
2010-05-01,40-44 years,419.0
2010-05-01,45-49 years,545.0
2010-05-01,5-9 years,0.0
2010-05-01,50-54 years,500.0
2010-05-01,55-59 years,305.0
2010-05-01,60-64 years ,159.0
2010-05-01,65-69 years,67.0
2010-05-01,70-74 years,28.0
2010-05-01,75-79 years,29.0
2010-05-01,80-84 years,17.0
2010-05-01,85-89 years,20.0
2010-05-01,90-94 years,10.0
2010-05-01,95-99 years,0.0
2010-05-01,< 1 year,0.0
2010-05-01,Not Stated,0.0
2010-06-01,1-4 years,0.0
2010-06-01,10-14 years,0.0
2010-06-01,100+ years,0.0
2010-06-01,15-19 years,71.0
2010-06-01,20-24 years,219.0
2010-06-01,25-29 years,294.0
2010-06-01,30-34 years,314.0
2010-06-01,35-39 years,350.0
2010-06-01,40-44 years,378.0
2010-06-01,45-49 years,528.0
2010-06-01,5-9 years,0.0
2010-06-01,50-54 years,466.0
2010-06-01,55-59 years,323.0
2010-06-01,60-64 years ,141.0
2010-06-01,65-69 years,67.0
2010-06-01,70-74 years,32.0
2010-06-01,75-79 years,17.0
