Month,Age,Sex,Deaths
2010-01-01,1-4 years,Female,0.0
2010-01-01,1-4 years,Male,0.0
2010-01-01,10-14 years,Female,0.0
2010-01-01,10-14 years,Male,0.0
2010-01-01,100+ years,Female,0.0
2010-01-01,100+ years,Male,0.0
2010-01-01,15-19 years,Female,29.0
2010-01-01,15-19 years,Male,56.0
2010-01-01,20-24 years,Female,64.0
2010-01-01,20-24 years,Male,161.0
2010-01-01,25-29 years,Female,114.0
2010-01-01,25-29 years,Male,235.0
2010-01-01,30-34 years,Female,108.0
2010-01-01,30-34 years,Male,232.0
2010-01-01,35-39 years,Female,132.0
2010-01-01,35-39 years,Male,259.0
2010-01-01,40-44 years,Female,183.0
2010-01-01,40-44 years,Male,251.0
2010-01-01,45-49 years,Female,232.0
2010-01-01,45-49 years,Male,329.0
2010-01-01,5-9 years,Female,0.0
2010-01-01,5-9 years,Male,0.0
2010-01-01,50-54 years,Female,216.0
2010-01-01,50-54 years,Male,276.0
2010-01-01,55-59 years,Female,113.0
2010-01-01,55-59 years,Male,195.0
2010-01-01,60-64 years ,Female,99.0
2010-01-01,60-64 years ,Male,81.0
2010-01-01,65-69 years,Female,22.0
2010-01-01,65-69 years,Male,35.0
2010-01-01,70-74 years,Female,16.0
2010-01-01,70-74 years,Male,20.0
2010-01-01,75-79 years,Female,15.0
2010-01-01,75-79 years,Male,13.0
2010-01-01,80-84 years,Female,13.0
2010-01-01,80-84 years,Male,12.0
2010-01-01,85-89 years,Female,12.0
2010-01-01,85-89 years,Male,11.0
2010-01-01,90-94 years,Female,0.0
2010-01-01,90-94 years,Male,0.0
2010-01-01,95-99 years,Female,0.0
2010-01-01,95-99 years,Male,0.0
2010-01-01,< 1 year,Female,0.0
2010-01-01,< 1 year,Male,0.0
2010-01-01,Not Stated,Female,0.0
2010-01-01,Not Stated,Male,0.0
2010-02-01,1-4 years,Female,0.0
2010-02-01,1-4 years,Male,0.0
2010-02-01,10-14 years,Female,0.0
2010-02-01,10-14 years,Male,0.0
2010-02-01,100+ years,Female,0.0
2010-02-01,100+ years,Male,0.0
2010-02-01,15-19 years,Female,17.0
2010-02-01,15-19 years,Male,51.0
2010-02-01,20-24 years,Female,51.0
2010-02-01,20-24 years,Male,169.0
2010-02-01,25-29 years,Female,72.0
2010-02-01,25-29 years,Male,224.0
2010-02-01,30-34 years,Female,111.0
2010-02-01,30-34 years,Male,214.0
2010-02-01,35-39 years,Female,160.0
2010-02-01,35-39 years,Male,215.0
2010-02-01,40-44 years,Female,163.0
2010-02-01,40-44 years,Male,235.0
2010-02-01,45-49 years,Female,205.0
2010-02-01,45-49 years,Male,299.0
2010-02-01,5-9 years,Female,0.0
2010-02-01,5-9 years,Male,0.0
2010-02-01,50-54 years,Female,207.0
2010-02-01,50-54 years,Male,267.0
2010-02-01,55-59 years,Female,127.0
2010-02-01,55-59 years,Male,184.0
2010-02-01,60-64 years ,Female,66.0
2010-02-01,60-64 years ,Male,100.0
2010-02-01,65-69 years,Female,29.0
2010-02-01,65-69 years,Male,26.0
2010-02-01,70-74 years,Female,14.0
2010-02-01,70-74 years,Male,19.0
2010-02-01,75-79 years,Female,11.0
2010-02-01,75-79 years,Male,13.0
2010-02-01,80-84 years,Female,13.0
2010-02-01,80-84 years,Male,12.0
2010-02-01,85-89 years,Female,11.0
2010-02-01,85-89 years,Male,11.0
2010-02-01,90-94 years,Female,0.0
2010-02-01,90-94 years,Male,0.0
2010-02-01,95-99 years,Female,0.0
2010-02-01,95-99 years,Male,0.0
2010-02-01,< 1 year,Female,0.0
2010-02-01,< 1 year,Male,0.0
2010-02-01,Not Stated,Female,0.0
2010-02-01,Not Stated,Male,0.0
2010-03-01,1-4 years,Female,0.0
2010-03-01,1-4 years,Male,0.0
2010-03-01,10-14 years,Female,0.0
2010-03-01,10-14 years,Male,0.0
2010-03-01,100+ years,Female,0.0
2010-03-01,100+ years,Male,0.0
2010-03-01,15-19 years,Female,27.0
2010-03-01,15-19 years,Male,49.0
2010-03-01,20-24 years,Female,64.0
2010-03-01,20-24 years,Male,184.0
2010-03-01,25-29 years,Female,101.0
2010-03-01,25-29 years,Male,232.0
2010-03-01,30-34 years,Female,105.0
2010-03-01,30-34 years,Male,236.0
2010-03-01,35-39 years,Female,140.0
2010-03-01,35-39 years,Male,230.0
2010-03-01,40-44 years,Female,177.0
2010-03-01,40-44 years,Male,266.0
