Month,Age=1-4 years|Sex=Female,Age=1-4 years|Sex=Male,Age=10-14 years|Sex=Female,Age=10-14 years|Sex=Male,Age=100+ years|Sex=Female,Age=100+ years|Sex=Male,Age=15-19 years|Sex=Female,Age=15-19 years|Sex=Male,Age=20-24 years|Sex=Female,Age=20-24 years|Sex=Male,Age=25-29 years|Sex=Female,Age=25-29 years|Sex=Male,Age=30-34 years|Sex=Female,Age=30-34 years|Sex=Male,Age=35-39 years|Sex=Female,Age=35-39 years|Sex=Male,Age=40-44 years|Sex=Female,Age=40-44 years|Sex=Male,Age=45-49 years|Sex=Female,Age=45-49 years|Sex=Male,Age=5-9 years|Sex=Female,Age=5-9 years|Sex=Male,Age=50-54 years|Sex=Female,Age=50-54 years|Sex=Male,Age=55-59 years|Sex=Female,Age=55-59 years|Sex=Male,Age=60-64 years |Sex=Female,Age=60-64 years |Sex=Male,Age=65-69 years|Sex=Female,Age=65-69 years|Sex=Male,Age=70-74 years|Sex=Female,Age=70-74 years|Sex=Male,Age=75-79 years|Sex=Female,Age=75-79 years|Sex=Male,Age=80-84 years|Sex=Female,Age=80-84 years|Sex=Male,Age=85-89 years|Sex=Female,Age=85-89 years|Sex=Male,Age=90-94 years|Sex=Female,Age=90-94 years|Sex=Male,Age=95-99 years|Sex=Female,Age=95-99 years|Sex=Male,Age=< 1 year|Sex=Female,Age=< 1 year|Sex=Male,Age=Not Stated|Sex=Female,Age=Not Stated|Sex=Male
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,29.0,56.0,64.0,161.0,114.0,235.0,108.0,232.0,132.0,259.0,183.0,251.0,232.0,329.0,0.0,0.0,216.0,276.0,113.0,195.0,99.0,81.0,22.0,35.0,16.0,20.0,15.0,13.0,13.0,12.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-02-01,0.0,0.0,0.0,0.0,0.0,0.0,17.0,51.0,51.0,169.0,72.0,224.0,111.0,214.0,160.0,215.0,163.0,235.0,205.0,299.0,0.0,0.0,207.0,267.0,127.0,184.0,66.0,100.0,29.0,26.0,14.0,19.0,11.0,13.0,13.0,12.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-03-01,0.0,0.0,0.0,0.0,0.0,0.0,27.0,49.0,64.0,184.0,101.0,232.0,105.0,236.0,140.0,230.0,177.0,266.0,242.0,349.0,0.0,0.0,221.0,287.0,149.0,197.0,76.0,99.0,35.0,29.0,19.0,11.0,14.0,13.0,13.0,12.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-04-01,0.0,0.0,0.0,0.0,0.0,0.0,22.0,47.0,68.0,151.0,98.0,234.0,117.0,191.0,141.0,190.0,155.0,236.0,225.0,324.0,0.0,0.0,217.0,296.0,149.0,182.0,79.0,81.0,32.0,27.0,13.0,15.0,15.0,11.5,13.0,11.75,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-05-01,0.0,0.0,0.0,0.0,0.0,0.0,19.0,58.0,78.0,172.0,117.0,230.0,102.0,241.0,140.0,209.0,173.0,246.0,223.0,322.0,0.0,0.0,225.0,275.0,131.0,174.0,62.0,97.0,28.0,39.0,16.0,12.0,19.0,10.0,13.0,11.5,11.666666666666666,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-01,0.0,0.0,0.0,0.0,0.0,0.0,16.0,55.0,57.0,162.0,83.0,211.0,111.0,203.0,132.0,218.0,148.0,230.0,222.0,306.0,0.0,0.0,185.0,281.0,145.0,178.0,61.0,80.0,31.0,36.0,21.0,11.0,15.0,11.4,12.5,11.25,11.333333333333334,10.954545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-07-01,0.0,0.0,0.0,0.0,0.0,0.0,23.0,60.0,60.0,172.0,95.0,203.0,102.0,204.0,147.0,203.0,175.0,252.0,213.0,309.0,0.0,0.0,206.0,254.0,152.0,210.0,77.0,96.0,33.0,23.0,18.0,17.0,11.0,12.8,12.0,11.0,11.0,10.909090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-01,0.0,0.0,0.0,0.0,0.0,0.0,18.0,45.0,59.0,172.0,98.0,236.0,112.0,218.0,142.0,221.0,152.0,252.0,208.0,268.0,0.0,0.0,194.0,267.0,120.0,187.0,82.0,111.0,35.0,29.0,18.0,17.0,11.5,14.2,14.0,10.75,11.5,10.863636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-09-01,0.0,0.0,0.0,0.0,0.0,0.0,28.0,58.0,72.0,180.0,86.0,238.0,97.0,205.0,128.0,191.0,149.0,218.0,210.0,278.0,0.0,0.0,198.0,255.0,136.0,170.0,68.0,82.0,41.0,24.0,11.0,14.0,12.0,15.6,16.0,10.5,12.0,10.818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-10-01,0.0,0.0,0.0,0.0,0.0,0.0,18.0,46.0,68.0,177.0,80.0,235.0,148.0,237.0,119.0,199.0,164.0,229.0,212.0,284.0,0.0,0.0,213.0,276.0,143.0,178.0,58.0,91.0,35.0,34.0,13.0,18.0,14.0,17.0,13.0,10.25,12.5,10.772727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
