Month,Sex,Deaths
2010-01-01,Female,1366.0
2010-01-01,Male,2155.0
2010-02-01,Female,1254.0
2010-02-01,Male,2030.0
2010-03-01,Female,1399.0
2010-03-01,Male,2211.0
2010-04-01,Female,1358.0
2010-04-01,Male,2009.0
2010-05-01,Female,1362.0
2010-05-01,Male,2110.0
2010-06-01,Female,1240.0
2010-06-01,Male,1998.0
2010-07-01,Female,1345.0
2010-07-01,Male,2031.0
2010-08-01,Female,1275.0
2010-08-01,Male,2051.0
2010-09-01,Female,1263.0
2010-09-01,Male,1948.0
2010-10-01,Female,1302.0
2010-10-01,Male,2038.0
2010-11-01,Female,1329.0
2010-11-01,Male,1993.0
2010-12-01,Female,1363.0
2010-12-01,Male,2126.0
2011-01-01,Female,1440.0
2011-01-01,Male,2292.0
2011-02-01,Female,1409.0
2011-02-01,Male,2257.0
2011-03-01,Female,1522.0
2011-03-01,Male,2284.0
2011-04-01,Female,1463.0
2011-04-01,Male,2206.0
2011-05-01,Female,1454.0
2011-05-01,Male,2274.0
2011-06-01,Female,1273.0
2011-06-01,Male,2106.0
2011-07-01,Female,1411.0
2011-07-01,Male,2314.0
2011-08-01,Female,1378.0
2011-08-01,Male,2209.0
2011-09-01,Female,1347.0
2011-09-01,Male,2132.0
2011-10-01,Female,1415.0
2011-10-01,Male,2171.0
2011-11-01,Female,1364.0
2011-11-01,Male,2233.0
2011-12-01,Female,1415.0
2011-12-01,Male,2255.0
2012-01-01,Female,1498.0
2012-01-01,Male,2292.0
2012-02-01,Female,1436.0
2012-02-01,Male,2223.0
2012-03-01,Female,1437.0
2012-03-01,Male,2325.0
2012-04-01,Female,1374.0
2012-04-01,Male,2120.0
2012-05-01,Female,1428.0
2012-05-01,Male,2172.0
2012-06-01,Female,1421.0
2012-06-01,Male,2286.0
2012-07-01,Female,1415.0
2012-07-01,Male,2284.0
2012-08-01,Female,1411.0
2012-08-01,Male,2329.0
2012-09-01,Female,1351.0
2012-09-01,Male,2195.0
2012-10-01,Female,1401.0
2012-10-01,Male,2187.0
2012-11-01,Female,1369.0
2012-11-01,Male,2102.0
2012-12-01,Female,1396.0
2012-12-01,Male,2335.0
2013-01-01,Female,1562.0
2013-01-01,Male,2482.0
2013-02-01,Female,1493.0
2013-02-01,Male,2262.0
2013-03-01,Female,1605.0
2013-03-01,Male,2509.0
2013-04-01,Female,1484.0
2013-04-01,Male,2349.0
2013-05-01,Female,1437.0
2013-05-01,Male,2433.0
2013-06-01,Female,1480.0
2013-06-01,Male,2392.0
2013-07-01,Female,1496.0
2013-07-01,Male,2354.0
2013-08-01,Female,1489.0
2013-08-01,Male,2367.0
2013-09-01,Female,1392.0
2013-09-01,Male,2260.0
2013-10-01,Female,1439.0
2013-10-01,Male,2251.0
2013-11-01,Female,1366.0
2013-11-01,Male,2431.0
2013-12-01,Female,1533.0
2013-12-01,Male,2458.0
2014-01-01,Female,1684.0
2014-01-01,Male,2622.0
2014-02-01,Female,1607.0
2014-02-01,Male,2487.0
2014-03-01,Female,1723.0
2014-03-01,Male,2611.0
2014-04-01,Female,1485.0
2014-04-01,Male,2444.0
2014-05-01,Female,1614.0
2014-05-01,Male,2499.0
2014-06-01,Female,1460.0
2014-06-01,Male,2488.0
2014-07-01,Female,1489.0
2014-07-01,Male,2606.0
2014-08-01,Female,1516.0
2014-08-01,Male,2643.0
2014-09-01,Female,1475.0
2014-09-01,Male,2418.0
2014-10-01,Female,1625.0
2014-10-01,Male,2569.0
