Month,State,Deaths
2010-01-01,Alabama,48.0
2010-01-01,Alaska,12.0
2010-01-01,Arizona,96.0
2010-01-01,Arkansas,38.0
2010-01-01,California,365.0
2010-01-01,Colorado,80.0
2010-01-01,Connecticut,33.0
2010-01-01,Delaware,12.0
2010-01-01,District of Columbia,11.0
2010-01-01,Florida,313.0
2010-01-01,Georgia,90.0
2010-01-01,Hawaii,12.0
2010-01-01,Idaho,17.0
2010-01-01,Illinois,114.0
2010-01-01,Indiana,87.0
2010-01-01,Iowa,19.0
2010-01-01,Kansas,27.0
2010-01-01,Kentucky,86.0
2010-01-01,Louisiana,56.0
2010-01-01,Maine,17.0
2010-01-01,Maryland,59.0
2010-01-01,Massachusetts,74.0
2010-01-01,Michigan,112.0
2010-01-01,Minnesota,49.0
2010-01-01,Mississippi,30.0
2010-01-01,Missouri,83.0
2010-01-01,Montana,13.0
2010-01-01,Nebraska,16.0
2010-01-01,Nevada,43.0
2010-01-01,New Hampshire,19.0
2010-01-01,New Jersey,98.0
2010-01-01,New Mexico,53.0
2010-01-01,New York,137.0
2010-01-01,North Carolina,111.0
2010-01-01,North Dakota,0.0
2010-01-01,Ohio,144.0
2010-01-01,Oklahoma,81.0
2010-01-01,Oregon,38.0
2010-01-01,Pennsylvania,152.0
2010-01-01,Rhode Island,19.0
2010-01-01,South Carolina,60.0
2010-01-01,South Dakota,0.0
2010-01-01,Tennessee,100.0
2010-01-01,Texas,190.0
2010-01-01,Utah,46.0
2010-01-01,Vermont,11.0
2010-01-01,Virginia,49.0
2010-01-01,Washington,71.0
2010-01-01,West Virginia,59.0
2010-01-01,Wisconsin,70.0
2010-01-01,Wyoming,10.0
2010-02-01,Alabama,43.0
2010-02-01,Alaska,12.0
2010-02-01,Arizona,78.0
2010-02-01,Arkansas,27.0
2010-02-01,California,370.0
2010-02-01,Colorado,46.0
2010-02-01,Connecticut,40.0
2010-02-01,Delaware,12.0
2010-02-01,District of Columbia,11.0
2010-02-01,Florida,265.0
2010-02-01,Georgia,85.0
2010-02-01,Hawaii,15.0
2010-02-01,Idaho,17.0
2010-02-01,Illinois,95.0
2010-02-01,Indiana,81.0
2010-02-01,Iowa,24.0
2010-02-01,Kansas,18.0
2010-02-01,Kentucky,99.0
2010-02-01,Louisiana,56.0
2010-02-01,Maine,17.0
2010-02-01,Maryland,59.0
2010-02-01,Massachusetts,61.0
2010-02-01,Michigan,109.0
2010-02-01,Minnesota,41.0
2010-02-01,Mississippi,29.0
2010-02-01,Missouri,89.0
2010-02-01,Montana,13.0
2010-02-01,Nebraska,10.0
2010-02-01,Nevada,51.0
2010-02-01,New Hampshire,15.0
2010-02-01,New Jersey,53.0
2010-02-01,New Mexico,49.0
2010-02-01,New York,134.0
2010-02-01,North Carolina,103.0
2010-02-01,North Dakota,0.0
2010-02-01,Ohio,132.0
2010-02-01,Oklahoma,69.0
2010-02-01,Oregon,48.0
2010-02-01,Pennsylvania,145.0
2010-02-01,Rhode Island,16.0
2010-02-01,South Carolina,64.0
2010-02-01,South Dakota,0.0
2010-02-01,Tennessee,104.0
2010-02-01,Texas,203.0
2010-02-01,Utah,37.0
2010-02-01,Vermont,0.0
2010-02-01,Virginia,53.0
2010-02-01,Washington,72.0
2010-02-01,West Virginia,50.0
2010-02-01,Wisconsin,54.0
2010-02-01,Wyoming,10.0
2010-03-01,Alabama,51.0
2010-03-01,Alaska,16.0
2010-03-01,Arizona,99.0
2010-03-01,Arkansas,34.0
2010-03-01,California,362.0
2010-03-01,Colorado,56.0
2010-03-01,Connecticut,33.0
2010-03-01,Delaware,12.0
2010-03-01,District of Columbia,10.5
2010-03-01,Florida,306.0
2010-03-01,Georgia,100.0
2010-03-01,Hawaii,11.0
2010-03-01,Idaho,18.0
2010-03-01,Illinois,117.0
2010-03-01,Indiana,90.0
2010-03-01,Iowa,26.0
2010-03-01,Kansas,27.0
2010-03-01,Kentucky,90.0
2010-03-01,Louisiana,66.0
2010-03-01,Maine,13.0
2010-03-01,Maryland,62.0
2010-03-01,Massachusetts,79.0
2010-03-01,Michigan,118.0
2010-03-01,Minnesota,31.0
2010-03-01,Mississippi,34.0
2010-03-01,Missouri,84.0
2010-03-01,Montana,13.0
2010-03-01,Nebraska,12.0
2010-03-01,Nevada,50.0
2010-03-01,New Hampshire,19.0
2010-03-01,New Jersey,98.0
2010-03-01,New Mexico,47.0
2010-03-01,New York,147.0
2010-03-01,North Carolina,108.0
2010-03-01,North Dakota,0.0
2010-03-01,Ohio,160.0
2010-03-01,Oklahoma,79.0
2010-03-01,Oregon,49.0
2010-03-01,Pennsylvania,172.0
2010-03-01,Rhode Island,12.0
2010-03-01,South Carolina,66.0
2010-03-01,South Dakota,0.0
2010-03-01,Tennessee,101.0
2010-03-01,Texas,228.0
2010-03-01,Utah,39.0
2010-03-01,Vermont,2.4
2010-03-01,Virginia,58.0
2010-03-01,Washington,87.0
2010-03-01,West Virginia,43.0
2010-03-01,Wisconsin,58.0
2010-03-01,Wyoming,10.0
2010-04-01,Alabama,59.0
2010-04-01,Alaska,16.5
2010-04-01,Arizona,99.0
2010-04-01,Arkansas,27.0
2010-04-01,California,355.0
2010-04-01,Colorado,63.0
2010-04-01,Connecticut,31.0
2010-04-01,Delaware,13.0
2010-04-01,District of Columbia,10.0
2010-04-01,Florida,237.0
2010-04-01,Georgia,115.0
2010-04-01,Hawaii,12.0
2010-04-01,Idaho,12.0
2010-04-01,Illinois,103.0
2010-04-01,Indiana,87.0
2010-04-01,Iowa,25.0
2010-04-01,Kansas,23.0
2010-04-01,Kentucky,78.0
2010-04-01,Louisiana,55.0
2010-04-01,Maine,15.0
2010-04-01,Maryland,56.0
2010-04-01,Massachusetts,72.0
2010-04-01,Michigan,131.0
2010-04-01,Minnesota,37.0
2010-04-01,Mississippi,24.0
2010-04-01,Missouri,92.0
2010-04-01,Montana,14.0
2010-04-01,Nebraska,15.0
2010-04-01,Nevada,46.0
2010-04-01,New Hampshire,16.0
2010-04-01,New Jersey,75.0
2010-04-01,New Mexico,48.0
2010-04-01,New York,140.0
2010-04-01,North Carolina,106.0
2010-04-01,North Dakota,0.0
2010-04-01,Ohio,157.0
2010-04-01,Oklahoma,65.0
2010-04-01,Oregon,44.0
2010-04-01,Pennsylvania,172.0
2010-04-01,Rhode Island,11.0
2010-04-01,South Carolina,52.0
2010-04-01,South Dakota,0.0
2010-04-01,Tennessee,88.0
2010-04-01,Texas,198.0
2010-04-01,Utah,38.0
2010-04-01,Vermont,4.8
2010-04-01,Virginia,58.0
2010-04-01,Washington,73.0
2010-04-01,West Virginia,46.0
2010-04-01,Wisconsin,47.0
2010-04-01,Wyoming,10.0
2010-05-01,Alabama,47.0
2010-05-01,Alaska,17.0
2010-05-01,Arizona,92.0
2010-05-01,Arkansas,40.0
2010-05-01,California,382.0
2010-05-01,Colorado,66.0
2010-05-01,Connecticut,34.0
2010-05-01,Delaware,15.0
2010-05-01,District of Columbia,10.125
2010-05-01,Florida,261.0
2010-05-01,Georgia,104.0
2010-05-01,Hawaii,12.0
2010-05-01,Idaho,14.0
2010-05-01,Illinois,116.0
2010-05-01,Indiana,83.0
2010-05-01,Iowa,29.0
2010-05-01,Kansas,19.0
2010-05-01,Kentucky,88.0
2010-05-01,Louisiana,51.0
2010-05-01,Maine,15.0
2010-05-01,Maryland,41.0
2010-05-01,Massachusetts,62.0
2010-05-01,Michigan,120.0
2010-05-01,Minnesota,28.0
2010-05-01,Mississippi,41.0
2010-05-01,Missouri,91.0
2010-05-01,Montana,12.0
2010-05-01,Nebraska,14.5
2010-05-01,Nevada,53.0
2010-05-01,New Hampshire,16.0
2010-05-01,New Jersey,77.0
2010-05-01,New Mexico,45.0
2010-05-01,New York,139.0
2010-05-01,North Carolina,90.0
2010-05-01,North Dakota,0.0
2010-05-01,Ohio,179.0
2010-05-01,Oklahoma,69.0
2010-05-01,Oregon,45.0
2010-05-01,Pennsylvania,203.0
2010-05-01,Rhode Island,14.0
2010-05-01,South Carolina,57.0
2010-05-01,South Dakota,0.15873015873015872
2010-05-01,Tennessee,94.0
2010-05-01,Texas,211.0
2010-05-01,Utah,29.0
2010-05-01,Vermont,7.199999999999999
2010-05-01,Virginia,55.0
2010-05-01,Washington,88.0
2010-05-01,West Virginia,35.0
2010-05-01,Wisconsin,61.0
2010-05-01,Wyoming,10.0
2010-06-01,Alabama,42.0
2010-06-01,Alaska,14.5
2010-06-01,Arizona,100.0
2010-06-01,Arkansas,37.0
2010-06-01,California,361.0
2010-06-01,Colorado,53.0
2010-06-01,Connecticut,34.0
2010-06-01,Delaware,20.0
2010-06-01,District of Columbia,10.25
2010-06-01,Florida,247.0
2010-06-01,Georgia,91.0
2010-06-01,Hawaii,13.0
2010-06-01,Idaho,16.0
2010-06-01,Illinois,116.0
2010-06-01,Indiana,55.0
2010-06-01,Iowa,19.0
2010-06-01,Kansas,24.0
2010-06-01,Kentucky,91.0
2010-06-01,Louisiana,53.0
2010-06-01,Maine,14.0
2010-06-01,Maryland,51.0
2010-06-01,Massachusetts,51.0
2010-06-01,Michigan,101.0
2010-06-01,Minnesota,36.0
2010-06-01,Mississippi,30.0
2010-06-01,Missouri,90.0
2010-06-01,Montana,12.0
2010-06-01,Nebraska,14.0
2010-06-01,Nevada,51.0
2010-06-01,New Hampshire,21.0
2010-06-01,New Jersey,71.0
2010-06-01,New Mexico,46.0
2010-06-01,New York,123.0
2010-06-01,North Carolina,97.0
2010-06-01,North Dakota,0.0
2010-06-01,Ohio,145.0
2010-06-01,Oklahoma,63.0
2010-06-01,Oregon,36.0
