Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,789,789,393.8721065279299,313.18832337622547,5.487618185195172,155135.23630074895,94.11764705882352,1488.1861751277893,1345.4512329101562,14.984291262896434,2214698.0918414793,66.66666666666666
2,789,1789,403.8663838117551,326.0428347120098,5.743901992571867,163108.0559731839,94.11764705882352,1219.075855857698,1003.3037312825521,11.359874476829496,1486145.9423351784,91.66666666666666
3,789,2789,348.882143557737,261.09032245710785,4.5342454199524935,121718.75009344138,92.15686274509804,2171.5134389415502,2046.9568684895833,22.743411981410553,4715470.615503758,25.0
4,789,3789,413.94373160256345,333.3803136488971,5.821024823742488,171349.41293305508,94.11764705882352,1675.7786832458132,1519.7437032063801,16.857822672919276,2808234.1952210716,41.66666666666667
5,789,4789,384.5217204267945,305.5025275735294,5.328306833924404,147856.9534799819,96.07843137254902,1730.8117896759557,1574.7617492675781,17.455938011032345,2995709.4512812844,41.66666666666667
6,789,5789,437.52832542662543,360.0345339307598,6.2739564168129665,191431.03555062704,94.11764705882352,1834.4728668976009,1684.6869812011719,18.684349253419043,3365290.6993835024,29.166666666666668
7,789,6789,388.20273640851593,311.9075712316176,5.463800195200751,150701.3645550597,96.07843137254902,1468.367815043031,1325.1306559244792,14.76153807025672,2156104.040254245,68.75
8,789,7789,396.32464045626386,311.5377604166667,5.437388297686713,157073.22063278683,94.11764705882352,1617.281537141811,1463.3327128092449,16.242684016913632,2615599.5703797787,54.166666666666664
9,789,8789,398.9914387004553,321.9231004901961,5.608750705188994,159194.1681562592,96.07843137254902,1921.3014026566511,1779.731709798177,19.742328211127354,3691399.0798504152,27.083333333333332
10,789,9789,382.45583458672513,308.567689185049,5.378979210322997,146272.46540942846,94.11764705882352,1880.7335811194525,1734.5446675618489,19.23262619982755,3537158.8031504005,27.083333333333332
