Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,1000,1000,271.02192446004386,217.4197468307783,3.8341106077877147,73452.88353802574,94.33962264150944,2926.5162774129094,2793.1329142252603,31.107548702021642,8564497.521962712,12.5
2,1000,2000,271.18629834622584,217.4913859817217,3.8308875536209506,73542.0084107282,96.22641509433963,2935.474464235559,2802.214365641276,31.210910174347458,8617010.330179041,12.5
3,1000,3000,272.20746631174893,217.63161482900944,3.8405140122293706,74096.90471586192,94.33962264150944,2918.5347565919756,2785.416707356771,31.021184486801307,8517845.125435382,12.5
4,1000,4000,267.8315211004425,215.76906139445754,3.818776547644133,71733.72369497677,94.33962264150944,2803.041961982028,2670.0003662109375,29.714116937558238,7857044.240632057,12.5
5,1000,5000,271.831054769408,218.10984485554246,3.8423031069363685,73892.1223370489,96.22641509433963,2955.352883169386,2821.974405924479,31.434304284519527,8734110.664057603,12.5
6,1000,6000,271.7483467337411,217.86184404481133,3.8393100057568117,73847.16395252156,96.22641509433963,2939.1537609922725,2805.739776611328,31.250331998910962,8638624.83075502,12.5
7,1000,7000,272.30866665877494,218.81840543926887,3.851770005753356,74152.00993747982,96.22641509433963,2984.24587508528,2850.63330078125,31.758127860210365,8905723.44296351,12.5
8,1000,8000,276.25390805682616,220.95980431898585,3.8674275533404785,76316.22171666937,96.22641509433963,3077.0659486807886,2942.7594095865884,32.800015880586756,9468334.852530802,12.5
9,1000,9000,268.15801825862826,215.82856721698113,3.816727464918511,71908.7227563948,94.33962264150944,2849.0744391945555,2715.5288899739585,30.22781013137606,8117225.160071771,12.5
10,1000,10000,269.4472373382562,215.9643923201651,3.8166794232605694,72601.81370921855,94.33962264150944,2860.527938283878,2727.5708516438804,30.36641814986107,8182620.085702613,12.5
