Trial,Seed,Trial_Seed,Train_RMSE,Train_MAE,Train_MAPE,Train_MSE,Train_PI_Coverage,Test_RMSE,Test_MAE,Test_MAPE,Test_MSE,Test_PI_Coverage
1,789,789,274.13136639715714,213.58091517857142,3.6725978690093357,75148.00604277241,95.91836734693877,2936.284014387114,2814.0677591959634,31.386773284471186,8621763.813145304,12.5
2,789,1789,268.5011440360261,209.79272959183675,3.624286090875658,72092.86434865484,93.87755102040816,2887.3119558108433,2763.8911946614585,30.81337199937147,8336570.330168237,12.5
3,789,2789,268.26389481827755,210.1302415497449,3.6204126724656915,71965.51726307187,95.91836734693877,2913.962892598132,2792.1209716796875,31.13937024923165,8491179.73943887,12.5
4,789,3789,277.539917398479,217.29243064413265,3.7277854743329204,77028.40574955454,95.91836734693877,2964.916042276837,2842.6956075032554,31.71119477595556,8790727.137750542,10.416666666666668
5,789,4789,277.57519331585695,216.7169264190051,3.719838962951634,77047.98794433536,95.91836734693877,2943.695831709634,2821.752970377604,31.475143269884313,8665345.149624676,12.5
6,789,5789,297.5707272606512,234.54897759885205,4.123566761038681,88548.33772243286,89.79591836734694,2499.825958118932,2374.764190673828,26.405466209578176,6249129.820885236,16.666666666666664
7,789,6789,271.1895660036215,210.55587332589286,3.6243208267325766,73543.7807092326,95.91836734693877,2892.8015534266706,2770.9241841634116,30.89947092546317,8368300.827507759,12.5
8,789,7789,267.9788826585522,208.54184271364795,3.608551861683017,71812.68155092609,93.87755102040816,2864.651409589132,2741.6336975097656,30.56289974978531,8206227.698461001,12.5
9,789,8789,268.0936297529648,209.14734135841837,3.6240109337375417,71874.19431411977,93.87755102040816,2838.6366113766044,2715.3302001953125,30.263968142513026,8057857.81144765,12.5
10,789,9789,271.22276480840503,212.9524772799745,3.652630257558403,73561.78815031538,97.95918367346938,2951.900982105519,2831.3900858561196,31.58973234197635,8713719.408155525,10.416666666666668
